traitement;Bloc;plant;uc;localisation;position;pt_card;flor2011;sortieUC;Long;diametre;NbFeu;fhlong;fhlarg;fhsfol;fblong;fblarg;fbsfol
temoin;BL1;B2;1,1;IL 1;L;N;0;S10;8,4;4,34;8;14,7;3,8;41,34;14,4;3,7;39,43
temoin;BL1;B2;1,2;IL 1;L;N;0;S10;9,8;4,8;11;15,2;4,35;48,93;16,16;4;47,83
temoin;BL1;B2;2;IL 1;A;N;0;S10;14,2;7,01;17;13,5;2,9;28,97;16,4;3,9;47,33
temoin;BL1;B2;3;IL 1;A;N;1;2011;7;4,19;8;12;3,2;28,42;12;3;26,64
temoin;BL1;B2;4;IL 1;L;N;0;2011;13,5;4,54;7;14,7;3,6;39,16;16,8;4,2;52,21
temoin;BL1;B2;5;IL 1;A;N;1;2011;9,9;5,7;13;11,4;3;25,31;13,3;3,2;31,49
temoin;BL1;B2;6;IL 2;A;S;1;2011;20;8,27;19;13;2,7;25,97;16;4,7;55,65
temoin;BL1;B2;7;IL 2;A;S;1;2011;14,7;6,32;9;12;3,5;31,08;18,2;4,3;57,91
temoin;BL1;B2;8;IL 2;L;S;1;2011;12;6,12;10;14,2;3,7;38,88;13,2;3,4;33,21
temoin;BL1;B2;9;IL 2;A;S;1;2011;12,1;6,83;12;12,5;3,2;29,6;17,2;4,1;52,18
temoin;BL1;B2;10;IL 2;A;S;1;2011;9;5,88;12;12;3;26,64;15,4;3,4;38,75
temoin;BL1;B2;11;R1;A;E;1;2011;21,3;7,4;17;11,8;2,9;25,32;13,5;3,2;31,97
temoin;BL1;B2;12;R1;L;E;0;S10;12,3;4,68;8;12,4;3;27,53;10,4;2,2;16,93
temoin;BL1;B2;13;R1;L;E;1;2011;20,9;5,71;13;10,3;2,5;19,06;21;4,8;74,59
temoin;BL1;B2;14;R1;L;E;0;2011;14,2;4,6;9;10,9;2,9;23,39;13,3;3,2;31,49
temoin;BL1;B2;15;R1;L;E;1;2011;17,7;6,16;10;14,5;3,6;38,63;14,5;3,8;40,77
temoin;BL1;B2;16;R 2;L;O;0;2011;20,3;6,75;11;14,6;3,2;34,57;15;3,5;38,85
temoin;BL1;B2;17;R 2;L;O;0;2011;19,4;7,32;8;16,6;3,4;41,77;17,9;4;52,98
temoin;BL1;B2;18,1;R 2;L;O;0;S14;5,5;4,1;10;9;2,6;17,32;13;3,5;33,67
temoin;BL1;B2;18,2;R 2;L;O;0;S14;2,5;2,53;4;8;2,3;13,62;10,7;3,1;24,55
temoin;BL1;B2;19;R 2;L;O;1;2011;9;6,09;10;14,1;3,3;34,43;13;3,1;29,82
temoin;BL1;B2;20;R 2;L;O;1;2011;10;4,34;6;11,5;2,7;22,98;10,9;3,1;25
temoin;BL1;B3;1;IL 1;L;N;0;S10;15,5;5,15;12;3,6;2,9;7,73;16;3,7;43,81
temoin;BL1;B3;2;IL 1;A;N;1;2011;13,5;7,2;7;16;3,8;44,99;12,3;3,1;28,22
temoin;BL1;B3;3;IL 1;L;N;0;S10;8,5;4,7;8;17,1;4;50,62;16,9;4,4;55,03
temoin;BL1;B3;4;IL 1;A;N;1;2011;13,8;5,72;11;13,5;3,2;31,97;17,7;3,9;51,08
temoin;BL1;B3;5;IL 1;A;N;1;2011;17,8;8,23;5;18,4;4,2;57,19;11,6;4,1;35,19
temoin;BL1;B3;6;IL 2;L;S;0;S10;2,7;2,77;4;11,6;3,2;27,47;12,5;3,6;33,3
temoin;BL1;B3;7;IL 2;L;S;0;S10;6;3,37;7;10,5;2,3;17,87;16,6;4,2;51,59
temoin;BL1;B3;8;IL 2;L;S;1;2011;13;4,17;5;10;2,5;18,5;13,3;3,2;31,49
temoin;BL1;B3;9;IL 2;L;S;0;S10;14,2;4,6;7;9;3,1;20,65;17,8;4,1;54,01
temoin;BL1;B3;10;IL 2;A;S;1;2011;15;5,51;4;15,3;3,5;39,63;13,7;3,1;31,43
temoin;BL1;B3;11;R1;L;E;0;S10;12,2;4,31;10;11,4;2,7;22,78;14,1;13,9;145,03
temoin;BL1;B3;12;R1;L;E;1;2011;21,2;5,57;9;13;3,5;33,67;14,4;4;42,62
temoin;BL1;B3;13;R1;A;E;1;2011;12,2;5,7;11;15,1;3,5;39,11;15,6;3,4;39,25
temoin;BL1;B3;14;R1;L;E;0;S10;14,2;4,21;13;8,6;2,4;15,27;13;3,4;32,71
temoin;BL1;B3;15;R1;L;E;1;2011;11,7;4,56;4;17;4,2;52,84;19;5;70,3
temoin;BL1;B3;16;R 2;L;O;0;S10;10,5;4,01;5;21;5,1;79,25;20,3;5,7;85,63
temoin;BL1;B3;17,1;R 2;L;O;0;S15;12;5,03;3;19,5;4,6;66,38;19,5;4,6;66,38
temoin;BL1;B3;18,1;R 2;L;O;0;S15;2,2;4,64;3;10,2;2,9;21,89;10,2;2,9;21,89
temoin;BL1;B3;19;R 2;L;O;0;S10;3,6;2,61;5;11;2,7;21,98;13,5;3,6;35,96
temoin;BL1;B3;20;R 2;L;O;0;S10;13,6;4,61;11;11,5;2,7;22,98;16;3,8;44,99
temoin;BL1;B4;1;IL 1;A;N;1;2011;13,5;5,18;12;11,8;2,8;24,45;12;3,3;29,3
temoin;BL1;B4;2,1;IL 1;L;N;0;S15;7;3,25;3;13,4;3,2;31,73;13,4;3,2;31,73
temoin;BL1;B4;2,2;IL 1;L;N;0;S15;6;3,01;2;13,3;3,2;31,49;13,3;3,2;31,49
temoin;BL1;B4;3;IL 1;A;N;0;2011;7;4,89;11;13,8;4,5;45,95;15,2;4,3;48,37
temoin;BL1;B4;4;IL 1;A;N;1;2011;22;7,13;19;14,3;3,5;37,04;21,2;5;78,44
temoin;BL1;B4;5;IL 1;A;N;1;2011;16,6;5,3;11;10,1;2,3;17,19;15,6;3,6;41,56
temoin;BL1;B4;6;IL 2;A;S;1;2011;17,4;6,95;7;17,1;4,5;56,94;18,3;4,5;60,94
temoin;BL1;B4;7;IL 2;L;S;0;2011;10,5;5,12;13;8,3;5;30,71;12;3,2;28,42
temoin;BL1;B4;8;IL 2;A;S;1;2011;11,6;6,07;5;13,5;3,6;35,96;7,5;2;11,1
temoin;BL1;B4;9;IL 2;L;S;1;2011;11,1;4,33;4;14,7;3,4;36,99;15,1;3,9;43,58
temoin;BL1;B4;10,1;IL 2;L;S;0;S15;4,6;2,61;6;10,5;2,8;21,76;10,8;2,9;23,18
temoin;BL1;B4;10,2;IL 2;L;S;0;S15;4,5;2,58;7;10;2,6;19,24;14;3,2;33,15
