var;ER;Scan_no; Area; Length; Width; Date; Time
Cogshall;ER 1;1;738;55,4;22,1;22/05/2005;10:21:31
Cogshall;ER 1;2;987;64,5;24,9;22/05/2005;10:21:41
Cogshall;ER 1;3;617;65;18,3;22/05/2005;10:21:52
Cogshall;ER 1;4;2048;102,6;31;22/05/2005;10:22:27
Cogshall;ER 1;5;1427;82,5;25,9;22/05/2005;10:22:47
Cogshall;ER 1;6;2068;99,8;28,7;22/05/2005;10:23:01
Cogshall;ER 1;7;4311;185,9;40,6;22/05/2005;10:23:39
Cogshall;ER 1;8;3280;135,9;40,9;22/05/2005;10:23:55
Cogshall;ER 1;9;4214;145,5;44,2;22/05/2005;10:24:23
Cogshall;ER 1;10;1953;98,6;30,5;22/05/2005;10:24:37
Cogshall;ER 1;11;5729;218,9;43,9;22/05/2005;10:25:16
Cogshall;ER 1;12;4698;182,4;39,1;22/05/2005;10:25:38
Cogshall;ER 1;13;4511;160,5;45;22/05/2005;10:26:05
Cogshall;ER 1;14;2431;119,9;31,5;22/05/2005;10:26:21
Cogshall;ER 1;15;6707;243,6;46;22/05/2005;10:26:54
Cogshall;ER 1;16;5077;186,4;41,7;22/05/2005;10:27:23
Cogshall;ER 1;17;7275;229,6;49,3;22/05/2005;10:27:56
Cogshall;ER 1;18;6062;213,9;44,4;22/05/2005;10:28:20
Cogshall;ER 1;19;7526;225,8;49,8;22/05/2005;10:28:54
Cogshall;ER 1;20;6496;216,9;45;22/05/2005;10:29:18
Cogshall;ER 1;21;3620;157,7;35,6;22/05/2005;10:29:50
Cogshall;ER 1;22;5021;186,4;40,4;22/05/2005;10:30:09
Cogshall;ER 1;23;8311;243,1;53,3;22/05/2005;10:30:54
Cogshall;ER 1;24;5542;196,1;43,9;22/05/2005;10:31:17
Cogshall;ER 1;25;6998;220,7;50;22/05/2005;10:31:49
Cogshall;ER 1;26;6536;227,8;47;22/05/2005;10:32:46
Cogshall;ER 1;27;8969;264,4;55,6;22/05/2005;10:33:39
Cogshall;ER 1;28;7737;251,2;49,3;22/05/2005;10:34:45
Cogshall;ER 10;1;2104;119,1;26,9;25/05/2005;08:21:18
Cogshall;ER 10;2;1992;118,6;27,2;25/05/2005;08:21:47
Cogshall;ER 10;3;2283;112,5;29,2;25/05/2005;08:22:08
Cogshall;ER 10;4;2770;130;32,3;25/05/2005;08:22:35
Cogshall;ER 10;5;2240;126,7;28,4;25/05/2005;08:22:49
Cogshall;ER 10;6;3644;156;38,4;25/05/2005;08:23:10
Cogshall;ER 10;7;2759;138,4;32,3;25/05/2005;08:23:24
Cogshall;ER 10;8;4283;161,8;38,9;25/05/2005;08:23:55
Cogshall;ER 10;9;2363;127;29,5;25/05/2005;08:24:07
