ER;UC;position; Area; Length; Width
1;1;L;3065;139.7;34.3
1;1;L;4652;172.7;43.2
1;1;L;4431;175.8;39.9
1;1;L;3071;142.0;33.8
1;1;L;2501;131.3;30.2
1;1;L;2506;134.1;30.5
1;1;L;4099;173.0;38.4
1;1;L;750;77.0;16.8
2;1;A;5510;197.9;43.2
2;1;A;4753;182.9;39.4
2;1;A;1263;94.0;21.3
2;1;A;2276;119.6;28.7
2;1;A;2560;151.9;32.5
2;1;A;3977;151.6;37.6
2;1;A;2856;141.5;32.3
2;1;A;5845;213.4;45.7
2;1;A;5321;200.2;42.2
2;1;A;3702;165.6;34.8
2;1;A;5754;213.6;45.7
2;1;A;4414;181.9;40.1
2;1;A;4685;189.5;41.9
2;1;A;4338;172.2;38.1
2;1;A;5520;199.4;43.7
2;1;A;5705;214.9;44.7
2;1;A;4728;184.7;39.4
3;1;A;4712;181.4;40.1
3;1;A;7772;224.0;52.3
3;1;A;5772;195.3;46.7
3;1;A;7957;229.4;52.6
3;1;A;7473;212.6;52.3
3;1;A;4362;170.9;39.9
3;1;A;6102;216.4;45.2
3;1;A;4147;181.1;37.1
3;1;A;7702;231.4;56.1
3;1;A;8201;255.5;53.1
3;1;A;9420;284.5;55.1
3;1;A;8860;257.3;52.8
3;1;A;6823;230.4;48.5
3;1;A;4754;172.7;41.7
3;1;A;8650;267.7;51.3
3;1;A;2656;165.4;35.3
3;1;A;6469;215.9;46.7
3;1;A;6513;218.4;46.2
4;1;A;8451;248.4;56.9
4;1;A;3076;149.9;34.8
4;1;A;7564;249.2;49.0
4;1;A;10218;262.4;58.7
4;1;A;8231;240.0;54.6
4;1;A;5774;190.0;42.4
4;1;A;1692;119.1;42.4
4;1;A;6355;221.5;52.3
4;1;A;6219;207.8;45.7
4;1;A;6162;203.2;46.7
4;1;A;4700;242.3;39.6
4;1;A;6801;216.7;47.0
4;1;A;8531;265.7;54.4
4;1;A;6255;222.2;47.5
4;1;A;8278;226.6;53.8
4;1;A;3451;137.2;38.1
4;1;A;11913;181.6;62.0
4;1;A;11603;171.7;63.5
5;1;A;5607;196.6;43.9
5;1;A;3175;143.3;33.8
5;1;A;5822;206.0;43.7
5;1;A;3991;160.0;37.8
5;1;A;5883;207.5;46.0
5;1;A;4100;180.6;38.6
5;1;A;3940;156.2;36.8
5;1;A;2862;127.3;32.5
5;1;A;4956;184.1;41.1
5;1;A;1644;107.2;25.1
5;1;A;5067;186.7;40.9
5;1;A;671;70.1;15.5
5;1;A;6181;213.1;46.2
5;1;A;4203;176.5;38.4
5;1;A;5506;194.3;44.7
5;2;A;4240;165.9;39.1
5;2;A;1198;91.7;24.1
5;2;A;2692;130.3;32.0
5;2;A;5527;192.5;43.4
5;2;A;6989;233.2;50.3
5;2;A;4735;173.7;43.2
5;2;A;7197;228.1;51.6
5;2;A;5410;194.1;43.4
5;2;A;7821;239.0;50.3
5;2;A;3327;151.4;33.5
5;2;A;6330;204.0;45.0
5;2;A;5688;214.6;47.2
5;2;A;6439;210.1;45.5
5;2;A;5270;191.8;43.7
5;2;A;6331;198.4;46.7
5;2;A;4617;175.5;38.9
5;2;A;6209;206.5;45.5
5;3;L;3471;156.7;33.8
5;3;L;4609;180.3;38.9
5;3;L;5631;190.8;46.0
5;3;L;3340;149.9;34.0
5;3;L;5938;195.6;46.0
5;3;L;4465;165.1;41.7
5;4;L;4896;182.4;41.7
5;4;L;6134;192.5;48.0
5;4;L;4407;159.3;41.1
5;4;L;4035;164.1;38.6
5;4;L;2725;130.6;32.3
5;4;L;2431;131.1;29.7
5;4;L;1129;92.5;21.1
5;4;L;5445;186.9;46.0
6;1;A;4544;166.4;40.6
6;1;A;2746;127.5;32.5
6;1;A;4094;164.6;38.1
6;1;A;3604;149.6;35.8
6;1;A;5830;192.3;44.7
6;1;A;4648;186.2;40.9
6;1;A;4517;170.2;39.6
6;1;A;5898;205.5;45.0
6;1;A;2641;122.9;31.2
6;1;A;5526;184.4;46.0
6;1;A;4187;164.3;38.4
6;1;A;1971;100.6;29.0
6;1;A;5670;191.3;45.7
6;1;A;5495;190.8;44.4
6;1;A;4159;172.2;37.6
6;1;A;6387;200.2;48.3
6;2;A;7220;252.7;49.3
6;2;A;5632;202.4;47.0
6;2;A;8499;256.8;54.6
6;2;A;9989;273.6;62.2
6;2;A;5827;176.5;50.0
6;2;A;5327;213.1;46.0
6;2;A;1089;95.2;19.3
6;2;A;8315;244.3;56.6
6;2;A;3777;135.6;42.4
6;2;A;5361;215.1;44.2
6;2;A;7338;221.0;50.3
6;2;A;3837;163.3;36.8
6;2;A;291;44.2;13.7
6;2;A;9373;265.2;58.4
6;3;L;7980;219.2;53.6
6;3;L;9535;256.5;57.7
6;3;L;7289;220.0;50.3
6;3;L;8299;240.5;57.9
6;3;L;6430;211.8;46.5
6;3;L;6873;215.9;48.5
6;3;L;3762;152.4;38.9
6;3;L;4647;180.8;39.6
6;3;L;1790;108.5;26.7
6;3;L;2714;137.9;30.7
6;3;L;1077;90.4;20.1
6;3;L;5602;198.1;46.2
6;4;L;3989;164.1;37.1
6;4;L;3763;151.9;37.1
6;4;L;2129;120.1;28.2
6;4;L;2792;133.9;30.2
6;4;L;3714;163.1;37.6
6;4;L;2719;134.4;31.2
6;4;L;2679;137.9;30.7
6;5;L;4374;178.1;38.4
6;5;L;2512;119.9;30.5
6;5;L;1589;108.5;22.1
6;5;L;3847;154.7;36.6
6;5;L;2893;146.8;30.2
6;5;L;2443;130.0;28.4
6;5;L;2769;140.7;30.7
6;5;L;1240;97.8;20.1
7;1;A;5526;176.3;48.0
7;1;A;5948;197.1;48.3
7;1;A;5514;193.5;44.4
7;1;A;4704;168.7;44.2
7;1;A;4544;170.7;40.9
7;1;A;4630;169.4;42.9
7;1;A;6250;207.3;47.8
7;1;A;6817;215.6;51.6
7;1;A;4240;178.6;42.7
7;1;A;3055;138.4;33.8
7;1;A;6102;202.9;47.0
7;1;A;6150;222.2;48.0
7;1;A;2939;132.3;33.5
7;1;A;5910;188.7;49.0
