nom;variete;verger;age;longueur;largeur;longlarg;aire
CSA;cogshall;sud;adulte;8,6;2,2;18,92;12,2
CSA;cogshall;sud;adulte;11;2,55;28,05;23,3
CSA;cogshall;sud;adulte;11,5;2,8;32,2;19,8
CSA;cogshall;sud;adulte;11,5;2,95;33,925;25,6
CSA;cogshall;sud;adulte;12,15;2,7;32,805;24,4
CSA;cogshall;sud;adulte;13,3;3,6;47,88;33,4
CSA;cogshall;sud;adulte;13,3;3,3;43,89;34,6
CSA;cogshall;sud;adulte;14,5;3,5;50,75;38,5
CSA;cogshall;sud;adulte;16,1;3,7;59,57;44,3
CSA;cogshall;sud;adulte;17;3,7;62,9;46,8
CSA;cogshall;sud;adulte;17,6;3,5;61,6;46,1
CSA;cogshall;sud;adulte;18,6;4,1;76,26;56,9
CSA;cogshall;sud;adulte;19,4;4,75;92,15;61,4
CSA;cogshall;sud;adulte;19,4;4,2;81,48;68,1
CSA;cogshall;sud;adulte;20,2;4,2;84,84;62,9
CSY;cogshall;sud;jeune;1,85;0,4;0,74;0,5
CSY;cogshall;sud;jeune;4,1;1;4,1;3
CSY;cogshall;sud;jeune;4,8;1,2;5,76;4,2
CSY;cogshall;sud;jeune;6,3;1,3;8,19;6,2
CSY;cogshall;sud;jeune;6,95;1,9;13,205;9,3
CSY;cogshall;sud;jeune;7,95;1,9;15,105;11
CSY;cogshall;sud;jeune;8,4;1,85;15,54;11,3
CSY;cogshall;sud;jeune;8,7;1,95;16,965;12,2
CSY;cogshall;sud;jeune;9,7;2,35;22,795;17,7
CSY;cogshall;sud;jeune;10;2,15;21,5;15,5
CSY;cogshall;sud;jeune;11,2;2,55;28,56;22
CSY;cogshall;sud;jeune;12,7;3,2;40,64;28,7
CSY;cogshall;sud;jeune;14,4;3,4;48,96;37
CSY;cogshall;sud;jeune;15,9;4,6;73,14;53,7
CSY;cogshall;sud;jeune;18,85;5;94,25;68,4
COA;cogshall;ouest;adulte;7,4;2;14,8;11
COA;cogshall;ouest;adulte;8,15;2;16,3;12,8
COA;cogshall;ouest;adulte;8,4;2,25;18,9;12
COA;cogshall;ouest;adulte;9,1;2,2;20,02;14,5
COA;cogshall;ouest;adulte;9,6;2,4;23,04;16,5
COA;cogshall;ouest;adulte;10,5;3,3;34,65;27,3
COA;cogshall;ouest;adulte;12,2;3,7;45,14;31,8
COA;cogshall;ouest;adulte;12,9;3,6;46,44;34,4
COA;cogshall;ouest;adulte;13,5;3,15;42,525;30
COA;cogshall;ouest;adulte;14,6;3,8;55,48;41,5
COA;cogshall;ouest;adulte;15,1;4,1;61,91;43,3
COA;cogshall;ouest;adulte;15,8;3,9;61,62;46,2
COA;cogshall;ouest;adulte;16,35;4,15;67,8525;51
COA;cogshall;ouest;adulte;17;3,95;67,15;50,5
COA;cogshall;ouest;adulte;19,5;4,9;95,55;74
COY;cogshall;ouest;jeune;2,9;0,6;1,74;1,2
COY;cogshall;ouest;jeune;3,7;0,9;3,33;2,1
COY;cogshall;ouest;jeune;4,9;1,35;6,615;4,6
COY;cogshall;ouest;jeune;5,3;1,3;6,89;4,9
COY;cogshall;ouest;jeune;6;1,4;8,4;5,5
COY;cogshall;ouest;jeune;6,6;1,5;9,9;7,2
COY;cogshall;ouest;jeune;7,3;1,95;14,235;10,4
COY;cogshall;ouest;jeune;9,25;2,2;20,35;14,5
COY;cogshall;ouest;jeune;10;2,45;24,5;18,1
COY;cogshall;ouest;jeune;11,7;2,7;31,59;23,8
COY;cogshall;ouest;jeune;12,8;3;38,4;27,5
COY;cogshall;ouest;jeune;13,5;3,5;47,25;34,9
COY;cogshall;ouest;jeune;14,8;3,8;56,24;42,1
COY;cogshall;ouest;jeune;15,7;4,05;63,585;46,9
COY;cogshall;ouest;jeune;16,8;3,7;62,16;44,5
JSA;jose;sud;adulte;7;2,05;14,35;10,5
JSA;jose;sud;adulte;10,4;2,3;23,92;16,8
JSA;jose;sud;adulte;11,6;2,95;34,22;24,8
JSA;jose;sud;adulte;12,6;2,9;36,54;26,1
JSA;jose;sud;adulte;12,7;2,9;36,83;25,7
JSA;jose;sud;adulte;13,9;3,4;47,26;32,8
JSA;jose;sud;adulte;14,6;4,05;59,13;44
JSA;jose;sud;adulte;15,4;3,5;53,9;38,8
JSA;jose;sud;adulte;15,9;3,5;55,65;40,3
JSA;jose;sud;adulte;16,4;3,6;59,04;41,5
JSA;jose;sud;adulte;17;4;68;53,1
JSA;jose;sud;adulte;17,7;3,9;69,03;50
JSA;jose;sud;adulte;19,4;4,4;85,36;61,4
JSA;jose;sud;adulte;20,9;6,3;131,67;92
JSA;jose;sud;adulte;23,7;5;118,5;83,9
JSY;jose;sud;jeune;2,2;0,55;1,21;0,8
JSY;jose;sud;jeune;3;0,7;2,1;1,5
JSY;jose;sud;jeune;3,9;0,9;3,51;2,6
JSY;jose;sud;jeune;4,4;0,75;3,3;2,4
JSY;jose;sud;jeune;5,5;1,25;6,875;5,2
JSY;jose;sud;jeune;6,5;1,1;7,15;5,7
JSY;jose;sud;jeune;7,8;1,5;11,7;8,7
JSY;jose;sud;jeune;8,1;1,65;13,365;10,1
JSY;jose;sud;jeune;8,4;2;16,8;12,2
JSY;jose;sud;jeune;9,6;1,85;17,76;13,1
JSY;jose;sud;jeune;10;1,9;19;13,9
JSY;jose;sud;jeune;11,1;2,3;25,53;19,4
JSY;jose;sud;jeune;11,7;2,25;26,325;19,1
JSY;jose;sud;jeune;12,4;2,45;30,38;23,3
JSY;jose;sud;jeune;15,2;3,3;50,16;37,8
JOA;jose;ouest;adulte;6,1;1,4;8,54;6
JOA;jose;ouest;adulte;7,25;2;14,5;10,7
JOA;jose;ouest;adulte;8,1;2;16,2;11,8
JOA;jose;ouest;adulte;8,7;1,5;13,05;10
JOA;jose;ouest;adulte;9,1;2,45;22,295;17
