lieu;variete;ER;UC;position; Area
GFOND;cogshall;1;4;L;32,8
GFOND;cogshall;1;4;L;31
GFOND;cogshall;1;4;L;24,3
GFOND;cogshall;1;4;L;20
GFOND;cogshall;1;4;L;20,4
GFOND;cogshall;1;4;L;17,4
GFOND;cogshall;1;4;L;15,5
GFOND;cogshall;1;5;A;63
GFOND;cogshall;1;5;A;64,8
GFOND;cogshall;1;5;A;56,5
GFOND;cogshall;1;5;A;78,5
GFOND;cogshall;1;5;A;68
GFOND;cogshall;1;5;A;20,1
GFOND;cogshall;1;5;A;61,5
GFOND;cogshall;1;5;A;54,3
GFOND;cogshall;1;5;A;54
GFOND;cogshall;1;5;A;50,2
GFOND;cogshall;1;5;A;44,9
GFOND;cogshall;1;5;A;43,5
GFOND;cogshall;1;5;A;79,1
GFOND;cogshall;1;5;A;74,6
GFOND;cogshall;1;6;L;64,9
GFOND;cogshall;1;6;L;52,6
GFOND;cogshall;1;6;L;64,8
GFOND;cogshall;1;6;L;43,9
GFOND;cogshall;1;6;L;37,8
GFOND;cogshall;1;6;L;75,7
GFOND;cogshall;1;6;L;26,1
GFOND;cogshall;1;6;L;21,6
GFOND;cogshall;1;6;L;43,1
GFOND;cogshall;1;7;A;40,7
GFOND;cogshall;1;7;A;76,8
GFOND;cogshall;1;7;A;100,9
GFOND;cogshall;1;7;A;44,5
GFOND;cogshall;1;7;A;54,4
GFOND;cogshall;1;7;A;88,7
GFOND;cogshall;1;7;A;38,7
GFOND;cogshall;1;7;A;67
GFOND;cogshall;1;7;A;54,6
GFOND;cogshall;1;7;A;22,2
GFOND;cogshall;1;7;A;66,5
GFOND;cogshall;1;7;A;59,7
GFOND;cogshall;1;7;A;79,5
GFOND;cogshall;1;7;A;11,6
GFOND;cogshall;1;7;A;22,2
GFOND;cogshall;1;7;A;70,6
GFOND;cogshall;1;7;A;61,4
GFOND;cogshall;1;7;A;80,2
GFOND;cogshall;1;7;A;72,5
GFOND;cogshall;1;7;A;50,4
GFOND;cogshall;1;7;A;81,9
GFOND;cogshall;1;8;L;43
GFOND;cogshall;1;8;L;28,2
GFOND;cogshall;1;8;L;39,8
GFOND;cogshall;1;8;L;28,8
GFOND;cogshall;1;8;L;28,2
GFOND;cogshall;1;8;L;24,8
GFOND;cogshall;1;9;L;55
GFOND;cogshall;1;9;L;46,6
GFOND;cogshall;1;9;L;39,9
GFOND;cogshall;1;9;L;10,2
GFOND;cogshall;1;9;L;19,8
GFOND;cogshall;1;9;L;27,2
GFOND;cogshall;1;10;A;24,2
GFOND;cogshall;1;10;A;51,1
GFOND;cogshall;1;10;A;35,8
GFOND;cogshall;1;10;A;46
GFOND;cogshall;1;10;A;60,9
GFOND;cogshall;1;10;A;63,4
GFOND;cogshall;1;10;A;19,7
GFOND;cogshall;1;10;A;67,7
GFOND;cogshall;1;10;A;50,9
GFOND;cogshall;1;10;A;38,3
GFOND;cogshall;1;10;A;37
GFOND;cogshall;1;10;A;54,4
GFOND;cogshall;1;10;A;50,3
GFOND;cogshall;1;11;A;53,3
GFOND;cogshall;1;11;A;80,7
GFOND;cogshall;1;11;A;70,6
GFOND;cogshall;1;11;A;49,3
GFOND;cogshall;1;11;A;57,6
GFOND;cogshall;1;11;A;65,9
GFOND;cogshall;1;11;A;76,7
GFOND;cogshall;1;11;A;49,1
GFOND;cogshall;1;11;A;64,8
GFOND;cogshall;1;11;A;38,1
GFOND;cogshall;1;11;A;23
GFOND;cogshall;1;11;A;68,4
GFOND;cogshall;1;13;A;30,8
GFOND;cogshall;1;13;A;58,5
GFOND;cogshall;1;13;A;68,7
GFOND;cogshall;1;13;A;45,6
GFOND;cogshall;1;13;A;65,2
GFOND;cogshall;1;13;A;56,4
GFOND;cogshall;1;13;A;60,9
GFOND;cogshall;1;13;A;52,5
GFOND;cogshall;1;13;A;50,8
GFOND;cogshall;1;13;A;39,7
GFOND;cogshall;1;13;A;58,3
GFOND;cogshall;1;13;A;69,2
GFOND;cogshall;1;13;A;42,5
GFOND;cogshall;1;13;A;59,6
GFOND;cogshall;1;13;A;57,5
GFOND;cogshall;1;13;A;16,5
GFOND;cogshall;1;13;A;27,5
GFOND;cogshall;1;14;A;46,9
GFOND;cogshall;1;14;A;80,4
GFOND;cogshall;1;14;A;58,6
GFOND;cogshall;1;14;A;77,4
GFOND;cogshall;1;14;A;87,9
GFOND;cogshall;1;14;A;79,9
GFOND;cogshall;1;14;A;75,5
GFOND;cogshall;1;14;A;92,7
GFOND;cogshall;1;14;A;73,9
GFOND;cogshall;1;14;A;92,2
GFOND;cogshall;1;14;A;76,3
GFOND;cogshall;1;14;A;89,7
GFOND;cogshall;1;14;A;68,7
GFOND;cogshall;1;14;A;93
GFOND;cogshall;1;14;A;35,2
GFOND;cogshall;1;14;A;65,6
GFOND;cogshall;1;14;A;73,3
GFOND;cogshall;1;15;L;50,7
GFOND;cogshall;1;15;L;76,9
GFOND;cogshall;1;15;L;75,6
GFOND;cogshall;1;15;L;25,4
GFOND;cogshall;1;15;L;33,6
GFOND;cogshall;1;15;L;61,8
GFOND;cogshall;1;15;L;57,2
GFOND;cogshall;1;15;L;48,8
GFOND;cogshall;1;15;L;81,6
