a;TMUC;nUC;longUCF;nLPyUC
4-BM-cog-V-F1-2-A;21.33269231;13;17,5;15,87
4-BM-cog-V-B11-1-A;21.34933333;15;13,5;15,87
4-BP-cog-V-A2-1-L;21.34973684;19;11,95;15,87
4-BM-cog-V-F6-2-A;21.44428571;14;14,9;15,75
4-BP-cog-V-A8-1-A;21.446;15;16,5;15,75
4-BP-cog-V-A2-1-A;21.5125;14;16,9;15,67
4-BM-cog-V-F1-1-A;21.5446875;16;18,25;15,62
4-BM-cog-V-F3-1-A;21.5446875;16;19,8;15,62
4-BM-cog-V-F6-1-A;21.5446875;16;21,9;15,62
4-BM-cog-V-F6-1-L;21.5446875;16;17,9;15,62
4-BP-cog-V-D10-1-L;21.60541667;12;12,4;15,54
4-BP-cog-V-D12-1-L;22.15772727;11;11,5;14,87
4-BP-cog-V-E15-1-A;22.15772727;11;12,5;14,87
4-BP-cog-V-D12-1-A;22.36125;12;16,7;14,62
4-BP-cog-V-E15-2-L;22.36125;12;12,2;14,62
4-BP-cog-V-G15-1-A;22.36125;12;19,3;14,62
4-BP-cog-V-G9-1-A;22.36125;12;15;14,62
4-BP-cog-V-B1-1-A;22.39576923;13;20;14,62
4-BP-cog-V-B1-1-L;22.39576923;13;13,3;14,62
4-BP-cog-V-G15-2-L;22.39576923;13;18,7;14,62
4-BP-cog-V-C11-1-A;22.415;12;19,8;14,58
4-BP-cog-V-C11-1-L;22.415;12;18,7;14,58
4-BP-cog-V-G9-2-A;22.415;12;11,3;14,58
2-BM-cog-V-F6-2-L;24.4546875;16;10,2;12,62
2-BM-cog-V-F6-1-A;24.55233333;15;22,4;12,54
2-BM-cog-V-F6-1-L;24.55233333;15;17,8;12,54
2-BM-cog-V-F6-2-A;24.63153846;13;16,6;12,5
2-BM-cog-V-F2-1-A;24.63464286;14;11;12,5
2-BM-cog-V-F6-3-A;24.77272727;11;15,5;12,37
2-BM-cog-V-B8-1-A;24.8735;10;5,5;12,29
2-BM-cog-V-B8-2-L;24.956875;8;7;12,25
2-BP-cog-V-D2-1-L;25.05266667;15;14;12,17
2-BP-cog-V-H12-2-L;25.11142857;14;15,5;12,12
2-BM-cog-V-B8-3-A;25.12153846;13;14,2;12,12
2-BP-cog-V-B7-1-A;25.19916667;12;13,3;12,04
2-BP-cog-V-D5-1-A;25.20545455;11;9,2;12,04
2-BP-cog-V-H12-1-A;25.20545455;11;22;12,04
2-BP-cog-V-D5-2-L;25.21041667;12;17,2;12,04
2-BP-cog-V-B7-2-L;25.22125;8;5;12,04
2-BP-cog-V-I12-1-A;25.24055556;9;5,6;12
2-BP-cog-V-D16-1-L;25.255;10;9,5;12
