a;A0;X00;B0;Error0;ER0
1-BM-cog-V-B13-1-A dist;27.19965121;150.958629;17.58293759;0;0.386733603
1-BM-cog-V-B13-1-A F1;22.5920855;153.3484033;14.72523369;0;0.383560729
1-BM-cog-V-B13-1-A prox;55.09250452;132.166348;16.52410365;0;0.833517292
1-BM-cog-V-B13-1-L dist;17.70012781;144.3942262;15.96187901;0;0.277225003
1-BM-cog-V-B13-1-L F1;15.97533723;150.259334;16.60334843;0;0.240543907
1-BM-cog-V-B13-1-L prox;57.65565094;132.9953785;15.10956521;0;0.953959464
1-BM-cog-V-F3-1-L dist;14.41664701;135.3233054;17.36999482;0;0.207493542
1-BM-cog-V-F3-1-L F1;13.10538527;141.9660629;16.66646886;0;0.196583112
1-BM-cog-V-F3-1-L prox;31.79039033;127.0813453;18.90309978;0;0.420438853
1-BM-cog-V-F3-2-A dist;16.95836435;135.7335062;19.4887224;0;0.21754074
1-BM-cog-V-F3-2-A F1;18.72551793;140.7158354;16.51962632;0;0.283382892
1-BM-cog-V-F3-2-A prox;31.53037133;123.6851661;18.48236064;0;0.426492751
1-BM-cog-V-F4-1-A F1;8.398250638;144.5833982;17.14292894;0;0.122473976
1-BM-cog-V-F4-1-A prox;62.41455416;129.3331763;18.69442639;0;0.834667949
1-BM-cog-V-F4-2-L dist;21.05671705;144.4635004;18.32240216;0;0.287308357
1-BM-cog-V-F4-2-L prox;33.46526233;133.7649074;21.25837794;0;0.393553808
1-BM-cog-V-F5-1-A dist;35.4287261;144.2161681;16.297221;0;0.543478027
1-BM-cog-V-F5-1-A F1;31.47057297;148.1219729;15.71996044;0;0.500487471
1-BM-cog-V-F5-1-A prox;57.01267396;136.191792;17.55643626;0;0.811848616
1-BM-cog-V-F5-2-L dist;13.17887775;126.8436854;15.06122112;0;0.218755133
1-BM-cog-V-F5-2-L F1;20.91843006;145.5147386;19.16807926;0;0.27282898
1-BM-cog-V-F5-2-L prox;24.84708228;127.6582643;18.69175445;0;0.33232678
1-BM-cog-V-F7-1-A dist;26.01656153;143.3640451;17.72360966;0;0.366976057
1-BM-cog-V-F7-1-A F1;16.08451541;150.069729;18.43937117;0;0.218072993
1-BM-cog-V-F7-1-A prox;52.77889363;131.9706994;18.17264013;0;0.726076305
1-BM-cog-V-F7-1-L dist;14.17156679;144.9221446;17.59591415;0;0.201347408
1-BM-cog-V-F7-1-L prox;45.30387933;130.138964;16.30714294;0;0.694540415
1-BP-cog-V-A10-1-A dist;27.33959815;128.8286774;17.24083524;0;0.396436683
1-BP-cog-V-A10-1-A F1;15.04781924;133.3473092;18.56230474;0;0.202666364
1-BP-cog-V-A10-1-A prox;49.02607276;121.1556605;16.62917156;0;0.737049236
1-BP-cog-V-A8-1-L dist;24.43911007;116.4066081;15.81001831;0;0.386449743
1-BP-cog-V-A8-1-L F1;19.63697382;116.7485119;16.31185678;0;0.300961658
1-BP-cog-V-A8-1-L prox;53.25925145;104.5529207;15.33017593;0;0.868536208
1-BP-cog-V-B7-1-A dist;37.47695925;123.3783104;15.55185295;0;0.602451672
1-BP-cog-V-B7-1-A F1;14.99794785;129.583656;15.7927861;0;0.237417701
1-BP-cog-V-B7-1-A prox;57.48289987;107.8410785;14.88993229;0;0.96513031
1-BP-cog-V-B7-1-L dist;25.71702302;122.9302612;16.19355173;0;0.397025672
1-BP-cog-V-B7-1-L F1;17.85184995;125.7000716;16.68925955;0;0.267415248
1-BP-cog-V-B7-1-L prox;41.59834317;104.7910225;15.01278258;0;0.692715407
1-BP-cog-V-B8-1-A dist;35.2413612;129.0704924;17.80693712;0;0.494770114
1-BP-cog-V-B8-1-A F1;21.97659663;132.2206029;16.93058244;0;0.324510345
1-BP-cog-V-B8-1-A prox;28.70005019;111.9309748;16.8289532;0;0.426349308
1-BP-cog-V-B8-1-L dist;38.08842956;128.6401334;12.55457487;0;0.758457175
1-BP-cog-V-B8-1-L F1;20.96186464;129.3015404;16.72117997;0;0.313402892
1-BP-cog-V-B8-1-L prox;35.84089059;119.1606622;17.01937598;0;0.526471867
1-BP-cog-V-C1-1-L dist;20.93026243;136.1664557;18.20925135;0;0.287357536
1-BP-cog-V-C1-2-A dist;25.44529192;121.6010042;16.52069283;0;0.385051828
1-BP-cog-V-C1-2-A F1;20.29426025;130.7112717;17.17197675;0;0.295456087
1-BP-cog-V-C1-2-A prox;82.57178161;118.6696821;15.42165787;0;1.338568497
1-BP-cog-V-C9-1-A F1;15.68575642;128.885319;17.98465174;0;0.21804365
1-BP-cog-V-C9-1-A prox;30.63927275;111.5776135;17.1563866;0;0.446470365
1-BP-cog-V-D16-1-L dist;32.09586183;136.9397019;16.92291779;0;0.474147872
1-BP-cog-V-D16-1-L F1;22.37009087;135.0303242;18.73823193;0;0.298455198
1-GF-cog-V-B12-1-A F1;17.68860854;146.9623081;18.43054859;0;0.239936002
1-GF-cog-V-B12-1-A prox;62.1826859;127.079579;18.04020496;0;0.861723661
1-GF-cog-V-B12-2-A dist;21.88255412;125.5458471;18.26258339;0;0.299554472
1-GF-cog-V-B12-2-A F1;26.88730956;128.7597792;18.07650049;0;0.371854463
