datesUnik;tempMoyheure;tempMoy
30/01/2010;24.99364583;25.205
31/01/2010;25.87927083;26.25
01/02/2010;25.2484375;26.685
02/02/2010;25.07427083;26.08
03/02/2010;26.91302083;27.93
04/02/2010;25.0046875;26.295
05/02/2010;23.9546875;24.64
06/02/2010;24.31072917;24.465
07/02/2010;24.74802083;25.3
08/02/2010;24.81604167;26.24
09/02/2010;23.48395833;23.79
10/02/2010;24.25278351;24.305
11/02/2010;23.968125;24.39
12/02/2010;25.47375;26.66
13/02/2010;25.82239583;26.43
14/02/2010;26.06083333;26.845
15/02/2010;25.72791667;26.115
16/02/2010;25.60947917;26.06
17/02/2010;25.42260417;25.405
18/02/2010;25.73364583;27.235
19/02/2010;25.79364583;26.52
20/02/2010;25.28739583;25.72
21/02/2010;24.8334375;25.31
22/02/2010;24.85864583;25.78
23/02/2010;24.09791667;25.37
24/02/2010;25.15072917;25.265
25/02/2010;25.30552083;26.185
26/02/2010;25.6859375;26.35
27/02/2010;25.14989583;26.03
28/02/2010;25.43364583;26.36
01/03/2010;25.589375;26.28
02/03/2010;25.21072917;25.835
03/03/2010;24.84041667;25.15
04/03/2010;24.1571875;24.75
05/03/2010;23.80270833;24.535
06/03/2010;24.60052083;25.895
07/03/2010;22.98239583;23.33
08/03/2010;24.64291667;25.63
09/03/2010;25.81916667;26.435
10/03/2010;23.5659375;23.64
11/03/2010;24.63927083;25.335
12/03/2010;23.59135417;23.75
13/03/2010;24.00166667;25.005
14/03/2010;24.79520833;25.23
15/03/2010;25.14822917;25.945
16/03/2010;24.79958333;25.305
17/03/2010;23.48729167;24.36
18/03/2010;25.6109375;26.15
19/03/2010;24.08052083;24.905
20/03/2010;24.264375;24.61
21/03/2010;24.83427083;25.555
22/03/2010;25.35427083;26.14
23/03/2010;23.15135417;23.68
24/03/2010;24.74927083;25.54
25/03/2010;24.9053125;25.38
26/03/2010;25.50895833;26.21
27/03/2010;24.66677083;25.65
28/03/2010;24.47979167;25.265
29/03/2010;23.71197917;24.755
30/03/2010;23.70229167;24.675
31/03/2010;23.64583333;24.525
01/04/2010;24.06125;25.07
02/04/2010;24.75572917;25.215
03/04/2010;24.54458333;25.505
04/04/2010;24.86447917;24.62
05/04/2010;24.21916667;25.12
06/04/2010;23.28572917;24.59
07/04/2010;24.3628125;25.01
08/04/2010;23.72052083;24.405
09/04/2010;23.5915625;24.21
10/04/2010;23.8709375;24.23
11/04/2010;23.2771875;24.09
12/04/2010;23.10135417;23.62
13/04/2010;22.60854167;23.4
14/04/2010;22.53947917;22.99
15/04/2010;22.68489583;22.91
16/04/2010;22.44854167;22.825
17/04/2010;22.99083333;23.81
18/04/2010;23.15166667;24.01
19/04/2010;23.10875;23.78
20/04/2010;23.7553125;24.235
21/04/2010;23.08572917;24.18
22/04/2010;24.12416667;25.135
23/04/2010;23.38854167;24.315
24/04/2010;23.19302083;24.4
25/04/2010;22.85239583;23.03
26/04/2010;22.63510417;23.61
27/04/2010;23.58927083;24.7
28/04/2010;24.0796875;24.87
29/04/2010;22.69729167;23.85
30/04/2010;23.0028125;24.3
01/05/2010;23.2240625;23.85
02/05/2010;22.18270833;23.46
03/05/2010;23.3715625;24.11
04/05/2010;23.70645833;24.85
05/05/2010;23.71375;24.9
06/05/2010;22.70885417;23.64
07/05/2010;22.81208333;23.745
08/05/2010;22.83364583;24.39
09/05/2010;22.68270833;23.57
10/05/2010;22.4778125;24.265
11/05/2010;22.22104167;22.795
12/05/2010;22.576875;23.775
13/05/2010;22.2446875;22.8
14/05/2010;20.03604167;20.35
15/05/2010;19.60583333;19.83
16/05/2010;20.48385417;21.32
17/05/2010;22.75552083;23.66
18/05/2010;23.1840625;24.775
19/05/2010;22.87604167;23.79
20/05/2010;21.98489583;23.17
21/05/2010;21.18197917;21.875
22/05/2010;21.86385417;22.795
23/05/2010;20.256875;21.06
24/05/2010;20.76260417;21.505
25/05/2010;20.98760417;21.98
26/05/2010;21.46104167;22.685
27/05/2010;21.80677083;22.38
28/05/2010;21.83166667;23
29/05/2010;21.67895833;23.165
30/05/2010;22.16552083;23.135
31/05/2010;21.73708333;22.45
01/06/2010;21.38666667;22.465
02/06/2010;21.6321875;22.325
03/06/2010;22.49697917;23.685
04/06/2010;22.27125;22.965
05/06/2010;20.55520833;21.115
06/06/2010;19.99083333;20.575
07/06/2010;19.84572917;20.8
08/06/2010;19.63677083;20.745
09/06/2010;19.74770833;21.105
10/06/2010;19.780625;20.35
11/06/2010;20.11635417;20.44
12/06/2010;21.0471875;22.145
13/06/2010;19.24645833;19.08
14/06/2010;19.19885417;20.385
15/06/2010;19.7959375;20.865
16/06/2010;19.5584375;20.355
17/06/2010;19.89739583;20.725
18/06/2010;20.94354167;22.69
19/06/2010;20.88458333;21.175
20/06/2010;20.06635417;21.17
21/06/2010;19.72947917;20.725
22/06/2010;20.34052083;21.3
23/06/2010;20.25927083;21.535
24/06/2010;20.74489583;21.455
25/06/2010;21.03666667;21.88
26/06/2010;20.96364583;21.24
27/06/2010;19.00947917;20.595
28/06/2010;19.75697917;20.61
29/06/2010;17.95135417;19.055
30/06/2010;17.5534375;18.59
01/07/2010;18.30604167;18.95
02/07/2010;17.58229167;18.255
03/07/2010;17.60552083;18.57
04/07/2010;17.06489583;18.065
05/07/2010;17.84760417;18.505
06/07/2010;17.9734375;18.355
07/07/2010;18.27364583;18.1
08/07/2010;19.12614583;18.52
09/07/2010;18.77083333;18.545
10/07/2010;19.1771875;19.735
11/07/2010;18.86541667;19.695
12/07/2010;18.25125;18.795
13/07/2010;18.1934375;18.605
14/07/2010;20.0284375;20.87
15/07/2010;20.60635417;21.32
16/07/2010;19.75770833;20.935
17/07/2010;19.40770833;20.42
18/07/2010;19.02604167;20.225
19/07/2010;20.14979167;19.71
20/07/2010;20.42979167;20.63
21/07/2010;20.7621875;22.12
22/07/2010;19.69197917;20.83
23/07/2010;18.06010417;19.47
24/07/2010;19.01854167;19.77
25/07/2010;19.3184375;19.59
26/07/2010;17.6865625;17.74
27/07/2010;16.94125;17.075
28/07/2010;18.31822917;18.385
29/07/2010;17.7659375;18.26
30/07/2010;19.28395833;19.58
31/07/2010;17.35885417;17.54
01/08/2010;17.68041667;17.79
02/08/2010;16.98947917;17.405
03/08/2010;17.49166667;17.655
04/08/2010;17.15729167;17.405
05/08/2010;17.33302083;18.005
06/08/2010;18.21697917;19.32
07/08/2010;18.52;18.485
08/08/2010;18.17677083;19.21
09/08/2010;19.145625;20.28
10/08/2010;18.54854167;19.13
11/08/2010;18.38583333;19.4
12/08/2010;16.9003125;17.415
13/08/2010;16.88135417;17.64
14/08/2010;18.03760417;18.77
15/08/2010;17.5903125;17.925
16/08/2010;18.57135417;19.615
17/08/2010;19.52979167;20.245
18/08/2010;20.35260417;21.51
19/08/2010;19.2940625;20.57
20/08/2010;19.68135417;20.46
21/08/2010;19.62447917;20.43
22/08/2010;19.6475;20.535
23/08/2010;20.063125;21.685
24/08/2010;19.01791667;19.745
25/08/2010;20.23208333;20.25
26/08/2010;19.78604167;19.795
27/08/2010;19.47416667;20.435
28/08/2010;19.13291667;19.615
29/08/2010;20.06166667;20.25
30/08/2010;19.45385417;20.145
31/08/2010;19.79395833;20.87
01/09/2010;19.53479167;19.98
02/09/2010;19.22614583;19.92
03/09/2010;19.34458333;20.365
04/09/2010;19.9303125;21.01
