codeUC;positionUC;PUCM;date;stadeUC;longueur;DFUC;T_ip
1-GF-cog-V-B12-1-A;A;A;09/02/2010 17:30;B2;;D;87.49
1-GF-cog-V-B12-1-A;A;A;08/03/2010 09:00;H;17.2;;
1-GF-cog-V-B12-2-A;A;L;10/02/2010 18:00;B2;;D;72.68
1-GF-cog-V-B12-2-A;A;L;08/03/2010 09:00;H;9;;
1-GF-cog-V-B5-1-L;L;L;08/02/2010 19:00;B2;;D;76.27
1-GF-cog-V-B5-1-L;L;L;08/03/2010 09:00;H;10;;
1-GF-cog-V-B5-2-L;L;L;08/02/2010 19:00;B2;;D;84.58
1-GF-cog-V-B5-2-L;L;L;08/03/2010 09:00;H;8.4;;
1-GF-cog-V-B7-1-A;A;A;07/02/2010 17:30;B2;;D;104.95
1-GF-cog-V-B7-1-A;A;A;08/03/2010 09:00;H;8.4;;
1-GF-cog-V-B7-2-L;L;A;08/02/2010 19:00;B2;;D;80.63
1-GF-cog-V-B7-2-L;L;A;08/03/2010 09:00;H;6.55;;
1-GF-cog-V-C38-1-A;A;A;09/02/2010 17:30;B2;;D;72.98
1-GF-cog-V-C38-1-A;A;A;08/03/2010 09:00;H;15.35;;
1-GF-cog-V-C38-1-L;L;A;09/02/2010 17:30;B2;;D;71.81
1-GF-cog-V-C38-1-L;L;A;08/03/2010 09:00;H;8.25;;
1-GF-cog-V-D38-1-A;A;L;09/02/2010 17:00;B1/B2;;D;94.38
1-GF-cog-V-D38-1-A;A;L;08/03/2010 09:00;H;14.7;;
1-GF-cog-V-D38-2-L;L;A;09/02/2010 17:00;B1/B2;;D;91.46
1-GF-cog-V-D38-2-L;L;A;08/03/2010 09:00;H;8.8;;
1-GF-cog-V-E4-1-A;A;A;09/02/2010 17:30;B2;;D;82.31
1-GF-cog-V-E4-1-A;A;A;08/03/2010 09:00;H;7.5;;
1-GF-cog-V-E4-2-L;L;L;09/02/2010 17:30;B2;;D;80.02
1-GF-cog-V-E4-2-L;L;L;08/03/2010 09:00;H;11.1;;
2-GF-cog-V-A28-1-L;L;A;25/03/2010 16:30;B2;;D;70.45
2-GF-cog-V-A28-1-L;L;A;20/04/2010 14:00;H;12;;
2-GF-cog-V-A28-2-L;L;A;26/03/2010 17:30;B2;;D;74.92
2-GF-cog-V-A28-2-L;L;A;22/04/2010 16:30;H;6.2;;
2-GF-cog-V-A36-1-A;A;A;25/03/2010 16:50;B1/B2;;D;75.74
2-GF-cog-V-A36-1-A;A;A;20/04/2010 14:00;H;8.2;;
2-GF-cog-V-A39-1-A;A;A;25/03/2010 16:50;B2;;D;82.45
2-GF-cog-V-A39-1-A;A;A;22/04/2010 16:30;H;11;;
2-GF-cog-V-A39-2-A;A;A;26/03/2010 17:50;B2;;D;61.66
2-GF-cog-V-A39-2-A;A;A;22/04/2010 16:30;H;5.6;;
2-GF-cog-V-B38-1-A;A;A;25/03/2010 16:50;B2;;D;84.38
2-GF-cog-V-B38-1-A;A;A;20/04/2010 14:00;H;14.1;;
2-GF-cog-V-D11-1-A;A;L;25/03/2010 16:00;B2;;D;77.72
2-GF-cog-V-D11-1-A;A;L;22/04/2010 16:30;H;13.35;;
2-GF-cog-V-D11-1-L;L;L;25/03/2010 16:00;B2;;D;77.04
2-GF-cog-V-D11-1-L;L;L;22/04/2010 16:30;H;9.2;;
2-GF-cog-V-E21-1-L;L;A;25/03/2010 16:20;B2;;D;79.61
2-GF-cog-V-E21-1-L;L;A;20/04/2010 14:00;H;10.4;;
2-GF-cog-V-E21-2-L;L;A;26/03/2010 17:15;B2;;D;68.76
2-GF-cog-V-E21-2-L;L;A;20/04/2010 14:00;H;12.3;;
4-GF-cog-V-A2-1-A;A;L;05/11/2010 09:15;B2;;D;53.74
4-GF-cog-V-A2-1-A;A;L;04/12/2010 17:40;H;2.2;;
4-GF-cog-V-A2-2-A;A;L;05/11/2010 09:15;B1/B2;;D;90.65
4-GF-cog-V-A2-2-A;A;L;06/12/2010 17:40;H;4.6;;
4-GF-cog-V-A7-1-A;A;L;05/11/2010 09:15;B2;;D;61.72
4-GF-cog-V-A7-1-A;A;L;06/12/2010 17:40;H;2.0;;
4-GF-cog-V-A7-2-A;A;L;04/11/2010 09:15;B2;;D;68.26
4-GF-cog-V-A7-2-A;A;L;06/12/2010 17:40;H;2.2;;
4-GF-cog-V-A7-3-A;A;L;05/11/2010 09:15;B1/B2;;D;84.72
4-GF-cog-V-A7-3-A;A;L;06/12/2010 17:40;H;5.1;;
4-GF-cog-V-B15-1-A;A;A;05/11/2010 09:15;B2;;D;38.00
4-GF-cog-V-B15-1-A;A;A;08/12/2010 18:00;H;3.1;;
4-GF-cog-V-B6-1-L;L;L;05/11/2010 09:15;B2;;D;106.42
4-GF-cog-V-B6-1-L;L;L;06/12/2010 15:20;H;10.7;;
4-GF-cog-V-B6-2-L;L;A;05/11/2010 09:15;B2;;D;92.46
4-GF-cog-V-B6-2-L;L;A;06/12/2010 18:00;H;6.5;;
