variete;parcelle;trait;arbre;uc.dep;EC1;EC2;EC3;EC4;EC5;ddeb;year;month;week;type;posit;diam;dsup;date.flo;fruits;pb;date.pb
cogshall;cpea;T;13;1;0;;;;;11/08/2008;2008;8;33;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;2;1;;;;;10/08/2008;2008;8;33;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;2;2;;;;;10/08/2008;2008;8;33;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;2;3;;;;;30/07/2008;2008;7;31;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;2;4;;;;;14/08/2008;2008;8;33;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;3;0;;;;;15/07/2008;2008;7;29;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;3;1;;;;;28/07/2008;2008;7;31;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;3;2;;;;;10/07/2008;2008;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;3;3;;;;;29/06/2008;2008;6;27;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;4;0;;;;;27/12/2007;2007;12;52;V;A;;NA;;NA;NA;
cogshall;cpea;T;13;5;;;;;;17/07/2007;2007;7;29;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;5;1;;;;;03/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;6;;;;;;14/07/2007;2007;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;6;1;;;;;12/07/2008;2008;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;6;2;;;;;28/06/2008;2008;6;26;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;6;3;;;;;25/07/2008;2008;7;30;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;6;4;;;;;04/07/2008;2008;7;27;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;6;5;;;;;10/07/2008;2008;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;7;;;;;;12/07/2007;2007;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;7;;;;;;02/08/2008;2008;8;31;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;8;0;;;;;27/12/2007;2007;12;52;V;A;;NA;;NA;NA;
cogshall;cpea;T;13;9;;;;;;12/07/2007;2007;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;9;1;;;;;14/07/2008;2008;7;29;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;9;2;;;;;23/07/2008;2008;7;30;F;A;;NA;;2;NA;
cogshall;cpea;T;13;9;3;;;;;18/07/2008;2008;7;29;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;9;4;;;;;14/07/2008;2008;7;29;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;10;0;;;;;30/07/2008;2008;7;31;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;11;1;;;;;27/12/2007;2007;12;52;V;L;;NA;;NA;NA;
cogshall;cpea;T;13;11;2;;;;;27/12/2007;2007;12;52;V;L;;NA;;NA;NA;
cogshall;cpea;T;13;11;3;;;;;27/12/2007;2007;12;52;V;L;;NA;;NA;NA;
cogshall;cpea;T;13;11;3;;;;;07/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;12;0;;;;;08/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;13;0;;;;;10/07/2008;2008;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;13;1;;;;;07/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;14;0;;;;;10/07/2008;2008;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;14;1;;;;;26/07/2008;2008;7;30;F;A;;NA;;1;NA;
cogshall;cpea;T;13;15;;;;;;NA;#VALEUR!;#VALEUR!;#VALEUR!;V;NA;;NA;;NA;NA;
cogshall;cpea;T;13;16;1;;;;;27/12/2007;2007;12;52;V;L;;NA;;NA;NA;
cogshall;cpea;T;13;17;0;;;;;09/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;18;0;;;;;NA;#VALEUR!;#VALEUR!;#VALEUR!;V;NA;;NA;;NA;NA;
cogshall;cpea;T;13;19;0;;;;;07/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;20;0;;;;;25/07/2008;2008;7;30;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;20;0;;;;;25/07/2008;2008;7;30;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;20;0;;;;;25/07/2008;2008;7;30;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;20;0;;;;;27/07/2008;2008;7;31;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;20;0;;;;;27/07/2008;2008;7;31;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;20;1;;;;;23/07/2008;2008;7;30;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;20;2;;;;;29/07/2008;2008;7;31;F;A;;NA;;3;NA;
cogshall;cpea;T;13;20;2;;;;;04/08/2008;2008;8;32;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;21;0;;;;;10/08/2008;2008;8;33;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;22;;;;;;30/06/2007;2007;6;26;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;22;1;;;;;07/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;22;2;;;;;17/08/2008;2008;8;34;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;22;3;;;;;02/08/2008;2008;8;31;F;A;;NA;;1;NA;
cogshall;cpea;T;13;22;4;;;;;08/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;22;5;;;;;02/08/2008;2008;8;31;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;23;;;;;;14/07/2007;2007;7;28;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;23;;;;;;17/07/2007;2007;7;29;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;23;;;;;;20/07/2007;2007;7;29;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;23;1;;;;;27/12/2007;2007;12;52;V;L;;NA;;NA;NA;
cogshall;cpea;T;13;24;0;;;;;27/12/2007;2007;12;52;V;A;;NA;;NA;NA;
cogshall;cpea;T;13;24;1;;;;;27/12/2007;2007;12;52;V;L;;NA;;NA;NA;
cogshall;cpea;T;13;25;0;;;;;29/07/2008;2008;7;31;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;25;1;;;;;25/07/2008;2008;7;30;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;25;2;;;;;04/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;25;3;;;;;29/07/2008;2008;7;31;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;25;4;;;;;01/08/2008;2008;8;31;F;A;;NA;;1;NA;
cogshall;cpea;T;13;26;0;;;;;27/12/2007;2007;12;52;V;A;;NA;;NA;NA;
cogshall;cpea;T;13;27;;;;;;17/07/2007;2007;7;29;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;27;1;;;;;27/12/2007;2007;12;52;V;L;;NA;;NA;NA;
cogshall;cpea;T;13;28;;;;;;14/07/2007;2007;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;28;1;;;;;05/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;28;2;;;;;09/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;28;3;;;;;05/08/2008;2008;8;32;F;A;;NA;;2;NA;
cogshall;cpea;T;13;28;4;;;;;06/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;28;5;;;;;09/08/2008;2008;8;32;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;28;6;;;;;17/08/2008;2008;8;34;F;A;;NA;;2;NA;
cogshall;cpea;T;13;29;;;;;;01/07/2007;2007;7;27;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;30;0;;;;;27/12/2007;2007;12;52;V;A;;NA;;NA;NA;
cogshall;cpea;T;13;31;;;;;;04/07/2007;2007;7;27;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;32;;;;;;06/07/2007;2007;7;27;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;33;;;;;;14/07/2007;2007;7;28;F;A;;NA;;NA;NA;
cogshall;cpea;T;13;34;;;;;;03/07/2007;2007;7;27;F;A;;NA;;1;NA;
cogshall;cpea;T;13;35;;;;;;02/09/2007;2007;9;36;F;L;;NA;;NA;NA;
cogshall;cpea;T;13;35;0;;;;;23/09/2007;2007;9;39;V;A;;NA;;NA;NA;
cogshall;cpea;T;13;35;0;;;;;08/08/2008;2008;8;32;FV;A;;NA;;NA;NA;
cogshall;cpea;T;13;35;1;;;;;NA;#VALEUR!;#VALEUR!;#VALEUR!;V;NA;;NA;;NA;NA;
cogshall;cpea;T;13;35;2;;;;;NA;#VALEUR!;#VALEUR!;#VALEUR!;V;NA;;NA;;NA;NA;
