CodeUC,Days,TTS,Length,Pheno_stage,Date
3-GF-cog-F-A2-1-A,1,25.385,2.38106023815,0,2010-07-23 00:00:00
3-GF-cog-F-A2-1-A,2,37.21,2.93270951854,0,2010-07-24 00:00:00
3-GF-cog-F-B25-1-L1,1,24.765,1.78117045437,0,2010-07-24 00:00:00
3-GF-cog-F-A2-1-A,3,48.835,3.58018625935,0,2010-07-25 00:00:00
3-GF-cog-F-B21-1-A,1,23.45,2.31223030629,0,2010-07-25 00:00:00
3-GF-cog-F-B25-1-L1,2,36.39,2.20351825912,0,2010-07-25 00:00:00
3-GF-cog-F-B25-1-L2,1,23.45,2.22108570857,0,2010-07-25 00:00:00
3-GF-cog-F-A2-1-A,4,59.89,4.30286054736,0,2010-07-26 00:00:00
3-GF-cog-F-B19-1-A,1,22.68,2.9069237709,0,2010-07-26 00:00:00
3-GF-cog-F-B21-1-A,2,34.505,2.80493303763,0,2010-07-26 00:00:00
3-GF-cog-F-B25-1-L1,3,47.445,2.68847223364,0,2010-07-26 00:00:00
3-GF-cog-F-B25-1-L2,2,34.505,2.70826169274,0,2010-07-26 00:00:00
3-GF-cog-F-B7-1-A,1,22.68,1.55356007428,0,2010-07-26 00:00:00
3-GF-cog-F-B8-1-L1,1,22.68,1.48333527019,0,2010-07-26 00:00:00
3-GF-cog-F-B8-1-L2,1,22.68,1.46581609118,0,2010-07-26 00:00:00
3-GF-cog-F-A2-1-A,5,70.59,5.1086438472,0,2010-07-27 00:00:00
3-GF-cog-F-B19-1-A,2,33.38,3.48708891804,0,2010-07-27 00:00:00
3-GF-cog-F-B19-1-L,1,21.755,2.26247715425,0,2010-07-27 00:00:00
3-GF-cog-F-B21-1-A,3,45.205,3.365270274,0,2010-07-27 00:00:00
3-GF-cog-F-B25-1-L1,4,58.145,3.24684011134,0,2010-07-27 00:00:00
3-GF-cog-F-B25-1-L2,3,45.205,3.26845624749,0,2010-07-27 00:00:00
3-GF-cog-F-B7-1-A,2,33.38,1.8845714689,0,2010-07-27 00:00:00
3-GF-cog-F-B7-1-L,1,21.755,1.65470892933,0,2010-07-27 00:00:00
3-GF-cog-F-B8-1-L1,2,33.38,1.80049243578,0,2010-07-27 00:00:00
3-GF-cog-F-B8-1-L2,2,33.38,1.77504495724,0,2010-07-27 00:00:00
3-GF-cog-F-A2-1-A,6,82.07,6.09329423301,0,2010-07-28 00:00:00
3-GF-cog-F-B19-1-A,3,44.86,4.21258603372,0,2010-07-28 00:00:00
3-GF-cog-F-B19-1-L,2,33.235,2.7502862859,0,2010-07-28 00:00:00
3-GF-cog-F-B21-1-A,4,56.685,4.06621980953,0,2010-07-28 00:00:00
3-GF-cog-F-B25-1-L1,5,69.625,3.95579293248,0,2010-07-28 00:00:00
3-GF-cog-F-B25-1-L2,4,56.685,3.97860234524,0,2010-07-28 00:00:00
3-GF-cog-F-B7-1-A,3,44.86,2.30912355408,0,2010-07-28 00:00:00
3-GF-cog-F-B7-1-L,2,33.235,2.02735241009,0,2010-07-28 00:00:00
3-GF-cog-F-B8-1-L1,3,44.86,2.20784758264,0,2010-07-28 00:00:00
3-GF-cog-F-B8-1-L2,3,44.86,2.17009065249,0,2010-07-28 00:00:00
3-GF-cog-F-A2-1-A,7,93.37,7.18243442993,0,2010-07-29 00:00:00
3-GF-cog-F-B19-1-A,4,56.16,5.03707937188,0,2010-07-29 00:00:00
3-GF-cog-F-B19-1-L,3,44.535,3.31211949863,0,2010-07-29 00:00:00
