0,CodeUC,Days,TTS,Length,Pheno_stage,Date
1,1-F,1,17.76,1.28844169995,0,2003-07-03 00:00:00
2,1-F,2,26.64,1.52118192659,0,2003-07-04 00:00:00
3,1-F,3,35.52,1.79320088876,0,2003-07-05 00:00:00
4,1-F,4,44.4,2.11006874038,0,2003-07-06 00:00:00
5,1-F,5,53.28,2.47774878417,0,2003-07-07 00:00:00
6,1-F,6,62.16,2.90247090755,0,2003-07-08 00:00:00
7,1-F,7,71.04,3.39053833414,0,2003-07-09 00:00:00
8,1-F,8,79.92,3.94805625815,0,2003-07-10 00:00:00
9,1-F,9,88.8,4.58057555526,1,2003-07-11 00:00:00
10,1-F,10,97.68,5.29265336399,1,2003-07-12 00:00:00
11,1-F,11,106.56,6.08734547889,1,2003-07-13 00:00:00
12,1-F,12,115.44,6.96566281196,1,2003-07-14 00:00:00
13,1-F,13,124.32,7.926043725,1,2003-07-15 00:00:00
14,1-F,14,133.2,8.96391192736,1,2003-07-16 00:00:00
15,1-F,15,142.08,10.0714002379,1,2003-07-17 00:00:00
16,1-F,16,150.96,11.2373176276,1,2003-07-18 00:00:00
17,1-F,17,159.84,12.4474160161,1,2003-07-19 00:00:00
18,1-F,18,168.72,13.6849739985,1,2003-07-20 00:00:00
19,1-F,19,177.6,14.9316628611,2,2003-07-21 00:00:00
20,1-F,20,186.48,16.1686075374,2,2003-07-22 00:00:00
21,1-F,21,195.36,17.3775157986,2,2003-07-23 00:00:00
22,1-F,22,204.24,18.5417346886,2,2003-07-24 00:00:00
23,1-F,23,213.12,19.6471084332,2,2003-07-25 00:00:00
24,1-F,24,222.0,20.6825520656,2,2003-07-26 00:00:00
25,1-F,25,230.88,21.6403079052,2,2003-07-27 00:00:00
26,1-F,26,239.76,22.5159035969,2,2003-07-28 00:00:00
27,1-F,27,248.64,23.3078691737,2,2003-07-29 00:00:00
28,1-F,28,257.52,24.0172909191,2,2003-07-30 00:00:00
29,1-F,29,266.4,24.6472821651,2,2003-07-31 00:00:00
30,1-F,30,275.28,25.2024402163,2,2003-08-01 00:00:00
31,1-F,31,284.16,25.688340563,2,2003-08-02 00:00:00
32,1-F,32,293.04,26.1111000258,2,2003-08-03 00:00:00
33,1-F,33,301.92,26.4770232698,2,2003-08-04 00:00:00
34,1-F,34,310.8,26.7923341326,2,2003-08-05 00:00:00
35,1-F,35,319.68,27.0629847497,2,2003-08-06 00:00:00
36,1-F,36,328.56,27.2945309506,2,2003-08-07 00:00:00
37,1-F,37,337.44,27.492060838,2,2003-08-08 00:00:00
38,1-F,38,346.32,27.6601638451,2,2003-08-09 00:00:00
39,1-F,39,355.2,27.8029290227,3,2003-08-10 00:00:00
40,1-F,40,364.08,27.9239632362,3,2003-08-11 00:00:00
41,1-F,41,372.96,28.026421929,3,2003-08-12 00:00:00
42,1-F,42,381.84,28.1130469242,3,2003-08-13 00:00:00
43,1-F,43,390.72,28.1862072722,3,2003-08-14 00:00:00
44,1-F,44,399.6,28.2479403863,3,2003-08-15 00:00:00
45,1-F,45,408.48,28.2999916653,3,2003-08-16 00:00:00
46,1-F,46,417.36,28.3438515045,3,2003-08-17 00:00:00
47,1-F,47,426.24,28.3807891107,3,2003-08-18 00:00:00
