0,CodeUC,Days,TTS,Length,Pheno_stage,Date
1,1-F,1,37.76,1.86867303306,0,2003-07-03 00:00:00
2,1-F,2,56.64,2.63140463602,0,2003-07-04 00:00:00
3,1-F,3,75.52,3.66276232419,0,2003-07-05 00:00:00
4,1-F,4,94.4,5.02013550386,0,2003-07-06 00:00:00
5,1-F,5,113.28,6.74435790706,1,2003-07-07 00:00:00
6,1-F,6,132.16,8.83857844061,1,2003-07-08 00:00:00
7,1-F,7,151.04,11.248045673,1,2003-07-09 00:00:00
8,1-F,8,169.92,13.8533285653,1,2003-07-10 00:00:00
9,1-F,9,178.8,15.099802373,1,2003-07-11 00:00:00
10,1-F,10,187.68,16.3340012903,1,2003-07-12 00:00:00
11,1-F,11,196.56,17.537796103,1,2003-07-13 00:00:00
12,1-F,12,205.44,18.6948267995,2,2003-07-14 00:00:00
13,1-F,13,214.32,19.7913259755,2,2003-07-15 00:00:00
14,1-F,14,223.2,20.816650307,2,2003-07-16 00:00:00
15,1-F,15,232.08,21.7634945792,2,2003-07-17 00:00:00
16,1-F,16,240.96,22.6278131548,2,2003-07-18 00:00:00
17,1-F,17,249.84,23.4085102135,2,2003-07-19 00:00:00
18,1-F,18,258.72,24.1069778389,2,2003-07-20 00:00:00
19,1-F,19,267.6,24.7265612512,2,2003-07-21 00:00:00
20,1-F,20,276.48,25.2720182173,2,2003-07-22 00:00:00
21,1-F,21,285.36,25.7490211475,2,2003-07-23 00:00:00
22,1-F,22,294.24,26.1637309963,2,2003-07-24 00:00:00
23,1-F,23,303.12,26.5224553867,2,2003-07-25 00:00:00
24,1-F,24,312.0,26.8313909975,2,2003-07-26 00:00:00
25,1-F,25,320.88,27.0964423787,2,2003-07-27 00:00:00
26,1-F,26,329.76,27.3231053057,2,2003-07-28 00:00:00
27,1-F,27,338.64,27.5164015476,2,2003-07-29 00:00:00
28,1-F,28,347.52,27.6808524908,2,2003-07-30 00:00:00
29,1-F,29,356.4,27.8204806176,2,2003-07-31 00:00:00
30,1-F,30,365.28,27.9388297874,2,2003-08-01 00:00:00
31,1-F,31,374.16,28.0389972375,2,2003-08-02 00:00:00
32,1-F,32,383.04,28.1236719993,3,2003-08-03 00:00:00
33,1-F,33,391.92,28.195175922,3,2003-08-04 00:00:00
34,1-F,34,400.8,28.2555046913,3,2003-08-05 00:00:00
35,1-F,35,409.68,28.3063671495,3,2003-08-06 00:00:00
36,1-F,36,418.56,28.3492219002,3,2003-08-07 00:00:00
37,1-F,37,427.44,28.385310667,3,2003-08-08 00:00:00
38,1-F,38,436.32,28.4156882091,3,2003-08-09 00:00:00
39,1-F,39,445.2,28.441248818,3,2003-08-10 00:00:00
40,1-F,40,454.08,28.4627495586,3,2003-08-11 00:00:00
41,1-F,41,462.96,28.4808304968,3,2003-08-12 00:00:00
42,1-F,42,471.84,28.4960321932,3,2003-08-13 00:00:00
43,1-F,43,480.72,28.5088107574,3,2003-08-14 00:00:00
44,1-F,44,489.6,28.519550748,3,2003-08-15 00:00:00
45,1-F,45,498.48,28.5285761894,3,2003-08-16 00:00:00
46,1-F,46,507.36,28.5361599542,3,2003-08-17 00:00:00
47,1-F,47,516.24,28.5425317346,3,2003-08-18 00:00:00
