cultivar;year;plant;ER;positionER;nbUC;DBm;DMm;pfER;numUC;position;rang;Long;NbFeu;pftot;pfUC;pffeu;psUC;psfeu;tmsUC;tmsfeu;foliaripf;foliarips;psmoyfeu;psfeulong;psUClong;SfolUC;Sfolmoy;LMA;volUC
Cogshall;2006;B11;1;L;1;5,35;5,06;12,68;1;L;1;120;8;12,68;3,09;9,57;1,02;4,14;33,00970874;43,26018809;3,097087379;4,058823529;517,5;34,5;8,5;25075;3134,4;16,51046859;2413,1
Cogshall;2006;B11;2;A;1;7,35;5,92;35,39;1;A;1;191;17;35,39;7,36;27,98;2,41;11,38;32,74456522;40,67190851;3,801630435;4,721991701;669,4117647;59,58115183;12,61780105;73207;4306,3;15,54496155;5257,3
Cogshall;2006;B11;3;A;1;8,75;7,245;61,27;1;A;1;249;18;61,27;13,74;47,46;4,5;19,16;32,7510917;40,3708386;3,454148472;4,257777778;1064,444444;76,94779116;18,07228916;118345;6574,7;16,1899531;10265,2
Cogshall;2006;B11;4;A;1;10,05;7,89;64,43;1;A;1;238;18;64,43;16,34;48,04;5,39;20,5;32,98653611;42,67277269;2,94002448;3,803339518;1138,888889;86,13445378;22,64705882;125274;6959,7;16,36412983;11636,5
Cogshall;2006;B13;5;A;4;12,6;11,625;131,41;1;A;1;135;15;43,73;18,45;25,25;7,1;11,35;38,48238482;44,95049505;1,368563686;1,598591549;756,6666667;84,07407407;52,59259259;63608;4240,5;17,84366746;14328,8
Cogshall;2006;B13;5;A;4;12,6;8,6;131,41;2;A;2;205;17;54,36;16,36;37,97;5,58;16,7;34,10757946;43,98209112;2,320904645;2,992831541;982,3529412;81,46341463;27,2195122;90020;5295,3;18,55143301;11908
Cogshall;2006;B13;5;A;4;12,6;5,435;131,41;3;L;2;130;6;15,56;4,37;11,15;1,49;4,89;34,09610984;43,85650224;2,551487414;3,281879195;815;37,61538462;11,46153846;27454;4575,7;17,81161215;3016
Cogshall;2006;B13;5;A;4;12,6;5,635;131,41;4;L;2;138;8;17,62;5,12;12,47;1,74;5,42;33,984375;43,46431435;2,435546875;3,114942529;677,5;39,27536232;12,60869565;31202;3900,3;17,37068137;3441,6
Cogshall;2006;B11;6;A;5;11,35;10,8;136,56;1;A;1;110;16;42,24;13,29;28,89;4,81;11,93;36,19262603;41,29456559;2,173814898;2,48024948;745,625;108,4545455;43,72727273;71917;4494,8;16,58856738;10077
Cogshall;2006;B11;6;A;5;11,35;6,92;136,56;2;A;2;222;14;41,95;11;30,94;3,33;12,28;30,27272727;39,68972204;2,812727273;3,687687688;877,1428571;55,31531532;15;81875;5848,2;14,99847328;8349,4
Cogshall;2006;B11;6;A;5;11,35;6,425;136,56;3;L;2;202;12;32,8;7,63;25,16;2,48;10,19;32,50327654;40,50079491;3,29750983;4,108870968;849,1666667;50,44554455;12,27722772;65998;5499,8;15,43986181;6549,2
Cogshall;2006;B11;6;A;5;11,35;4,075;136,56;4;L;2;115;7;9,17;2,07;7,06;0,66;2,82;31,88405797;39,94334278;3,410628019;4,272727273;402,8571429;24,52173913;5,739130435;21785;3112,1;12,94468671;1499,8
Cogshall;2006;B11;6;A;5;11,35;4,285;136,56;5;L;2;133;8;10,29;2,7;7,59;0,83;3,06;30,74074074;40,31620553;2,811111111;3,686746988;382,5;23,0075188;6,240601504;21667;2708,4;14,12285965;1918
Cogshall;2006;B13;7;A;3;13,5;11,175;155,7;1;A;1;174;19;65,15;21,49;42,97;8,34;18,83;38,80874826;43,82127065;1,999534667;2,257793765;991,0526316;108,2183908;47,93103448;98868;5203,6;19,04559615;17066,1
Cogshall;2006;B13;7;A;3;13,5;8,125;155,7;2;A;2;201;20;55,3;13,85;41,28;4,7;17,81;33,93501805;43,14437984;2,980505415;3,789361702;890,5;88,60696517;23,38308458;108119;5406;16,47259039;10421,6
Cogshall;2006;B13;7;A;3;13,5;6,8;155,7;3;L;2;143;11;35;6,84;28,1;2,39;11,11;34,94152047;39,53736655;4,108187135;4,648535565;1010;77,69230769;16,71328671;50666;4606;21,9279201;5193,3
Cogshall;2006;B13;8;L;8;15,75;13,29;189,74;1;L;1;165;14;44,46;27,19;17,24;10,72;7,76;39,42625965;45,01160093;0,634056638;0,723880597;554,2857143;47,03030303;64,96969697;37226;2659;20,84564552;22888,8
Cogshall;2006;B13;8;L;8;15,75;12,85;189,74;2;A;2;121;16;47,77;22,02;25,71;8,2;11,61;37,23887375;45,15752625;1,167574932;1,415853659;725,625;95,95041322;67,76859504;61922;3870,1;18,7493944;15692,1
Cogshall;2006;B13;8;L;8;15,75;7,6;189,74;3;A;3;181;16;36,4;11,46;24,95;3,86;10,98;33,68237347;44,00801603;2,177137871;2,844559585;686,25;60,66298343;21,32596685;58432;3652;18,79107338;8211
Cogshall;2006;B13;8;L;8;15,75;6,84;189,74;4;L;3;159;11;23,54;7,47;16,05;2,52;6,99;33,73493976;43,55140187;2,148594378;2,773809524;635,4545455;43,96226415;15,8490566;38366;3487,8;18,21925663;5842,5
Cogshall;2006;B13;8;L;8;15,75;4,65;189,74;5;L;3;107;7;11;2,73;8,26;0,94;3,58;34,43223443;43,34140436;3,025641026;3,808510638;511,4285714;33,45794393;8,785046729;20961;2994,4;17,07933782;1817,1
Cogshall;2006;B13;8;L;8;15,75;3,25;189,74;6;L;3;67;5;3,99;0,91;3,08;0,3;1,32;32,96703297;42,85714286;3,384615385;4,4;264;19,70149254;4,47761194;8619;1723,8;15,31500174;555,8
Cogshall;2006;B13;8;L;8;15,75;3,885;189,74;7;L;3;105;6;7;1,79;5,23;0,59;2,22;32,96089385;42,44741874;2,921787709;3,762711864;370;21,14285714;5,619047619;14723;2453,8;15,07844869;1244,7
Cogshall;2006;B13;8;L;8;15,75;5,5;189,74;8;L;3;132;9;15,14;4,2;10,9;1,43;4,72;34,04761905;43,30275229;2,595238095;3,300699301;524,4444444;35,75757576;10,83333333;27622;3069,1;17,08782854;3136,1
Cogshall;2006;B11;9;L;1;4,55;4,05;8,96;1;L;1;125;7;8,96;2,08;6,93;0,71;2,93;34,13461538;42,27994228;3,331730769;4,126760563;418,5714286;23,44;5,68;22153;3164,7;13,22619961;1610,3
