a;nUC;nFprox;nFdist;nF1;nFplus;TMUC;TMFprox;TMFdist;TMF1;TMFplus;vari;ver;sai;arbre;pos;nbApUCm;nbLatUCm;vigArbre;or;haut;posUCm;nbF;longHypo;longUCF;surFproxF;surFdistF;surF1F;surFplusF;surFtot;volUC;a;A0;X00;B0;Error0;ER0
1-BM-cog-V-B13-1-A;12;12;14;12;NA;25.54375;25.54375;25.6775;25.54375;NA;cog;BM;1;B13;A;1;2;3;est;2.5;A;20;1.7;21;54.25317711;26.73248424;22.58791304;NA;791.9516959;16630.98561;1-BM-cog-V-B13-1-A;21.05781482;89.01709401;23.63269206;0;0.22276149
1-BM-cog-V-B13-1-L;13;12;12;12;NA;25.64384615;25.54375;25.54375;25.54375;NA;cog;BM;1;B13;L;1;2;3;est;2.5;A;9;9;15.9;56.96565094;18.11769696;15.59394914;NA;315.9273407;5023.244718;1-BM-cog-V-B13-1-L;15.88325884;87.40845399;21.56121652;0;0.184164688
1-BM-cog-V-F3-1-L;12;14;14;14;NA;25.6075;25.67607143;25.67607143;25.67607143;NA;cog;BM;1;F3;L;1;3; 2/3;nord-est;3;A;9;5.5;11;31.35627149;14.48009563;12.9887901;NA;196.3342586;2159.676844;1-BM-cog-V-F3-1-L;11.07800053;74.2799157;26.92790592;0;0.102848701
1-BM-cog-V-F3-2-A;13;12;12;13;NA;25.64653846;25.6075;25.6075;25.64653846;NA;cog;BM;1;F3;A;1;0; 2/3;nord-est;2.9;L;14;2.7;13.5;31.26375874;16.15272615;18.47294592;NA;326.6800977;4410.181319;1-BM-cog-V-F3-2-A;13.50921635;72.79999246;24.23841394;0;0.139336843
1-BM-cog-V-F4-1-A;13;13;13;13;NA;25.64653846;25.64653846;25.64653846;25.64653846;NA;cog;BM;1;F4;A;1;0;2;sud;2.85;L;17;1.8;18.8;62.47941084;31.20270032;8.25953832;NA;757.7164276;14245.06884;1-BM-cog-V-F4-1-A;18.80483148;84.65284497;24.05421672;0;0.195442152
1-BM-cog-V-F4-2-L;13;12;12;NA;NA;25.64653846;25.6075;25.6075;NA;NA;cog;BM;1;F4;L;0;3;2;sud;2.85;A;11;3.7;12;32.80132064;20.352805;NA;NA;NA;NA;1-BM-cog-V-F4-2-L;11.83403851;75.45963965;27.22084515;0;0.108685444
1-BM-cog-V-F5-1-A;12;11;14;14;NA;25.6075;25.495;25.67607143;25.67607143;NA;cog;BM;1;F5;A;1;0;2;sud;2.85;L;15;6.4;20.8;55.83329488;35.16964704;31.23970542;NA;668.2602989;13899.81422;1-BM-cog-V-F5-1-A;20.91207007;90.15818509;25.33428475;0;0.206361362
1-BM-cog-V-F5-2-L;13;13;11;12;NA;25.64653846;25.64653846;25.495;25.6075;NA;cog;BM;1;F5;L;1;2;2;sud;2.85;L;6;6.3;9.4;24.8674272;13.0998054;20.352805;NA;115.2708865;1083.546333;1-BM-cog-V-F5-2-L;9.448864387;73.3578019;28.64422376;0;0.08246745
1-BM-cog-V-F7-1-A;14;12;13;13;NA;25.67607143;25.6075;25.64653846;25.64653846;NA;cog;BM;1;F7;A;1;2;2;sud;3;A;19;2.3;18.8;51.80714;25.48911288;15.6531573;NA;711.3194332;13372.80534;1-BM-cog-V-F7-1-A;18.82209138;86.32584967;26.08773746;0;0.180372976
1-BM-cog-V-F7-1-L;11;12;13;NA;NA;25.495;25.6075;25.64653846;NA;NA;cog;BM;1;F7;L;1;2;2;sud;3;A;10;7;15;45.37750388;14.00272984;NA;NA;NA;NA;1-BM-cog-V-F7-1-L;15.08093018;82.41937432;25.61261468;0;0.147202173
1-BM-jose-V-B5-1-A;17;15;15;15;NA;25.73176471;25.787;25.787;25.787;NA;jose;BM;1;B5;A;1;1; 1/2;sud-ouest;3.2;L;18;0.5;23.75;42.21222775;24.71170416;7.83401344;NA;576.6874347;13696.32657;1-BM-jose-V-B5-1-A;23.99005023;200.7157916;56.30710931;0;0.106514304
1-BM-jose-V-B5-1-L;15;15;NA;NA;NA;25.82733333;25.82733333;NA;NA;NA;jose;BM;1;B5;L;1;1; 1/2;sud-ouest;3.2;L;7;13.7;20.1;18.53377812;NA;NA;NA;NA;NA;1-BM-jose-V-B5-1-L;20.39169237;166.6445855;52.40745064;0;0.097274777
1-BM-jose-V-B5-2-L;12;NA;NA;14;NA;25.91625;NA;NA;25.8675;NA;jose;BM;1;B5;L;1;3; 1/2;sud-ouest;3.2;L;4;6.5;7.9;NA;NA;7.436192445;NA;NA;NA;1-BM-jose-V-B5-2-L;7.916705472;81.63898842;38.82529976;0;0.050976461
1-BM-jose-V-F11-1-A;16;14;14;16;NA;25.7609375;25.7875;25.7875;25.7609375;NA;jose;BM;1;F11;A;1;3;1;nord-est;2.1;A;21;2;31.3;44.0663256;30.79962545;16.79128616;NA;765.4507967;23958.60994;1-BM-jose-V-F11-1-A;31.56182429;210.5000793;48.91153546;0;0.161320964
1-BM-jose-V-F11-1-L;15;15;14;13;NA;25.729;25.729;25.75464286;25.75269231;NA;jose;BM;1;F11;L;1;3;1;nord-est;2.1;A;6;14.4;21.6;25.2733338;27.2174364;23.401235;NA;154.6281605;3339.968267;1-BM-jose-V-F11-1-L;21.6762815;169.1990013;45.28734791;0;0.119659698
1-BM-jose-V-F11-2-L;16;NA;16;16;NA;25.7609375;NA;25.7609375;25.7609375;NA;jose;BM;1;F11;L;0;2;1;nord-est;2.1;A;12;8.3;22.4;NA;25.64775356;17.34571542;NA;NA;NA;1-BM-jose-V-F11-2-L;22.54872721;208.1389089;47.09452475;0;0.119699303
1-BM-jose-V-F11-3-A;13;NA;14;13;NA;25.98769231;NA;25.93607143;25.98769231;NA;jose;BM;1;F11;A;1;0;1;nord-est;2;L;20;2.5;33.5;NA;20.7010925;30.06878688;NA;NA;NA;1-BM-jose-V-F11-3-A;33.83248255;170.8380472;44.86815083;0;0.188510569
1-BM-jose-V-F13-1-A;16;16;17;17;NA;25.7;25.7;25.72852941;25.72852941;NA;jose;BM;1;F13;A;1;2;1;sud-ouest;3.1;L;15;1.85;21.7;41.48858956;29.71236807;16.06404778;NA;514.4707512;11164.0153;1-BM-jose-V-F13-1-A;22.08671779;240.7041367;53.62497734;0;0.102968425
1-BM-jose-V-F9-1-A;18;15;18;NA;NA;25.75694444;25.787;25.75694444;NA;NA;jose;BM;1;F9;A;1;0;1;nord-est;3.3;L;11;5.95;16.9;45.82321832;42.13662376;NA;NA;NA;NA;1-BM-jose-V-F9-1-A;17.20913783;266.9035721;55.25926902;0;0.07785634
1-BP-cog-V-A10-1-A;11;11;10;14;NA;26.11318182;26.11318182;26.238;26.39821429;NA;cog;BP;1;A10;A;1;3; 2/3;sud;1.7;L;15;3;18.5;48.20284326;26.50675313;14.90380403;NA;537.8709788;9950.613107;1-BP-cog-V-A10-1-A;18.39214042;83.78085267;22.16982407;0;0.207400613
1-BP-cog-V-A8-1-L;9;10;9;10;NA;26.33333333;26.238;26.33333333;26.238;NA;cog;BP;1;A8;L;0;5;3;nord;1.4;A;11;3.2;11.6;52.6952624;23.9793048;19.43507852;NA;402.8079145;4672.571808;1-BP-cog-V-A8-1-L;11.51182983;62.74080849;19.38523572;0;0.148461308
1-BP-cog-V-B7-1-A;14;10;10;11;NA;26.39821429;26.238;26.238;26.11318182;NA;cog;BP;1;B7;A;1;1;3;nord;1.1;A;15;1.7;12;56.9508489;36.7830694;14.80944102;NA;670.9468691;8051.362429;1-BP-cog-V-B7-1-A;11.9454003;71.48552949;19.27854707;0;0.15490535
1-BP-cog-V-B7-1-L;7;9;11;14;NA;26.465;26.33333333;26.11318182;26.39821429;NA;cog;BP;1;B7;L;1;1;3;nord;1.1;A;7;NA;8.2;40.84252887;25.3114884;17.67918653;NA;216.1412383;1772.358154;1-BP-cog-V-B7-1-L;8.255704096;63.17079857;20.12286393;0;0.102566217
1-BP-cog-V-B8-1-A;11;9;14;14;NA;26.11318182;26.33333333;26.39821429;26.39821429;NA;cog;BP;1;B8;A;1;1;3;nord-est;1.6;L;12;2.4;11.65;28.1978862;34.7107838;21.5739733;NA;367.5716583;4282.209819;1-BP-cog-V-B8-1-A;11.75577468;74.21312523;22.20424516;0;0.13235954
1-BP-cog-V-B8-1-L;8;10;10;10;NA;26.4675;26.238;26.238;26.238;NA;cog;BP;1;B8;L;1;1;3;nord-est;1.6;L;5;6.5;8;35.29546438;37.5601765;20.44531775;NA;166.1565995;1329.252796;1-BP-cog-V-B8-1-L;8.041343505;68.04950685;21.1830295;0;0.094903133
1-BP-cog-V-C1-1-L;8;NA;14;NA;NA;26.4675;NA;26.39821429;NA;NA;cog;BP;1;C1;L;0;6;3;nord;2;A;10;3;12;NA;20.69140167;NA;NA;NA;NA;1-BP-cog-V-C1-1-L;12.08160559;78.15506408;20.97152672;0;0.144023916
1-BP-cog-V-C1-2-A;8;10;10;11;NA;26.4675;26.238;26.238;26.11318182;NA;cog;BP;1;C1;A;1;0;3;nord;1.4;A;14;1.6;9.4;81.41492051;25.10055933;19.612703;NA;711.963322;6692.455226;1-BP-cog-V-C1-2-A;9.444266121;72.2223798;22.63801704;0;0.104296526
