a;nInflo;TMInflo;var;ver;pos;longF;diamInflo;longAxeII;diamUCM;arbre;nbApUCm;nbLatUCm;vigArbre;or;haut;posUCm;posUCGM;a;A0;X00;B0;Error0;ER0
3-BM-cog-F-B10-1-L;50;19.487;cog;BM;L;29.7;0.9;18.3;1.165;B10;1;1;1;nord-est;2.2;A;L;3-BM-cog-F-B10-1-L;28.73593522;165.8058327;66.03518159;0;0.108790248
3-BM-cog-F-B11-1-A;39;19.45653846;cog;BM;A;18.6;0.9;12.1;0.825;B11;1;0;2;nord-ouest;2.9;A;L;3-BM-cog-F-B11-1-A;18.53289124;139.4460805;51.49201475;0;0.089979443
3-BM-cog-F-B14-1-L;28;19.23678571;cog;BM;L;16.5;0.76;11.4;0.885;B14;1;1;1;nord-est;1.6;A;A;3-BM-cog-F-B14-1-L;16.51620977;93.39171241;32.31211044;0;0.127786529
3-BM-cog-F-B14-2-A;43;19.37162791;cog;BM;A;44.45;1.1;27.8;1.075;B14;1;2;1;nord-est;2.3;A;A;3-BM-cog-F-B14-2-A;43.74679245;161.7302351;51.56400206;0;0.212099482
3-BM-cog-F-B8-1-A;52;19.52086538;cog;BM;A;31.9;1.2;20.7;1.05;B8;1;2;1;est;1;A;A;3-BM-cog-F-B8-1-A;31.67138733;166.1696239;61.25540385;0;0.129259565
3-BM-cog-F-B9-1-A;37;19.23810811;cog;BM;A;24.1;1.1;18.7;1;B9;1;1; 2/3;nord-ouest;2;A;A;3-BM-cog-F-B9-1-A;23.82327287;112.1460679;38.53252101;0;0.154566015
3-BM-cog-F-B9-2-L;42;19.61071429;cog;BM;L;23.4;0.7;13.25;1.2;B9;1;2; 2/3;est;2.1;A;A;3-BM-cog-F-B9-2-L;22.38908429;113.4591314;48.47432527;0;0.115468777
3-BM-cog-F-F3-1-A;43;19.51476744;cog;BM;A;30;0.9;14.4;0.775;F3;1;0;1;ouest;2.8;A;A;3-BM-cog-F-F3-1-A;30.16370089;161.0483826;58.00834861;0;0.12999724
3-BM-cog-F-F4-1-A;47;19.40414894;cog;BM;A;27;0.85;11.2;0.765;F4;1;0;1;sud-est;1.8;A;L;3-BM-cog-F-F4-1-A;26.03980748;135.5985393;51.32606931;0;0.126835192
3-BM-cog-F-F7-1-A;40;19.42975;cog;BM;A;30.5;0.97;19.2;0.715;F7;1;0;1;est;2.8;A;A;3-BM-cog-F-F7-1-A;30.55908129;131.2377892;42.16281615;0;0.18119687
3-BM-jose-F-B1-1-L;37;19.17;jose;BM;L;15.1;0.5;4;0.85;B1;0;2; 1/2;sud-ouest;2;L;L;3-BM-jose-F-B1-1-L;15.51661834;128.5217477;37.6883086;0;0.102927267
3-BM-jose-F-B1-2-L;37;19.21472973;jose;BM;L;18.2;0.76;11;0.975;B1;0;3; 1/2;est;3;L;A;3-BM-jose-F-B1-2-L;18.49771845;123.6327946;43.09292947;0;0.107312955
3-BM-jose-F-B2-1-L;40;19.235;jose;BM;L;11.5;0.7;9.9;0.805;B2;0;2;2;ouest;2.7;L;L;3-BM-jose-F-B2-1-L;11.63950881;125.1818795;44.47244942;0;0.065431008
3-BM-jose-F-B3-1-A;45;19.89122222;jose;BM;A;15.8;0.7;11;0.835;B3;1;0;1;ouest;1.6;L;L;3-BM-jose-F-B3-1-A;15.977835;159.8608554;44.62054693;0;0.089520614
3-BM-jose-F-B4-1-A;34;19.15426471;jose;BM;A;23;0.77;9.75;0.735;B4;1;0;1;ouest;2;L;L;3-BM-jose-F-B4-1-A;23.90819503;135.1344964;36.04463585;0;0.16582353
3-BM-jose-F-B4-2-A;34;19.96911765;jose;BM;A;27.2;0.65;9.1;0.795;B4;1;0;1;ouest;1.55;A;A;3-BM-jose-F-B4-2-A;27.83349874;153.510356;37.17254557;0;0.187191234
3-BM-jose-F-B5-1-L;32;19.85921875;jose;BM;L;13.7;0.7;9.1;0.845;B5;0;1;1;est;1.8;L;A;3-BM-jose-F-B5-1-L;14.36349903;144.6928987;38.4984215;0;0.093273298
3-BM-jose-F-B5-2-L;30;22.28616667;jose;BM;L;23.9;0.7;6.5;0.77;B5;0;3;3;est;1.7;A;L;3-BM-jose-F-B5-2-L;24.28141176;144.2823015;39.45294031;0;0.153863131
3-BM-jose-F-B6-1-L;55;20.25127273;jose;BM;L;22;0.6;4.3;0.715;B6;0;1;1;est;1.6;L;L;3-BM-jose-F-B6-1-L;20.81773599;174.9273431;46.32704818;0;0.112341153
3-BM-jose-F-F14-1-L;48;19.49145833;jose;BM;L;26.5;0.73;9.8;0.795;F14;1;1; 1/2;nord;1.5;L;A;3-BM-jose-F-F14-1-L;26.30756207;144.6216608;49.48322736;0;0.132911511
3-BM-jose-F-F14-2-A;30;21.75;jose;BM;A;30.2;1.14;15.5;1.35;F14;1;1;2;nord;2.5;A;L;3-BM-jose-F-F14-2-A;30.77719653;158.8667006;33.76766218;0;0.227859989
3-BM-jose-F-F14-3-L;32;21.8428125;jose;BM;L;29.4;0.78;8;1.35;F14;1;1;2;nord;2.5;A;L;3-BM-jose-F-F14-3-L;29.45430148;136.1399077;35.36949972;0;0.208189978
3-BM-jose-F-F14-4-L;29;21.81293103;jose;BM;L;25.2;0.68;5.5;1.085;F14;1;4;2;nord-est;2.1;A;L;3-BM-jose-F-F14-4-L;25.21983219;105.9742685;32.58931789;0;0.193467015
3-BP-cog-F-A10-1-A;28;20.08803571;cog;BP;A;24;0.83;13.5;0.935;A10;1;2;2;sud-est;2;A;L;3-BP-cog-F-A10-1-A;24.14425642;110.786254;32.20380971;0;0.187433231
