Date de relevéUC;Traitement;Plant;UC disparue;numéro de l'Unité de Croissance;Position ;Diamètre basal UC (mm);IA Type;IA Diam stade F;IL1 Type;IL1 Diam stade F;IL2 Type;IL2 Diam stade F;IL3 Type;IL3 Diam stade F;IL4 Type;IL4 Diam Stade F;IL5 Type;IL5 Diam stadeF;IL6 Type;IL6 Diam stadeF
22/06/2006;PS;F7;P;2;L;4,1;F;6,0;;;;;;;;;;;;
22/06/2006;PS;F7;P;4;A;5,9;F;5,7;;;;;;;;;;;;
22/06/2006;PS;F7;P;5;A;5,3;F;5,8;F;4,2;;;;;;;;;;
22/06/2006;PS;F7;P;10;A;9,2;F;5,7;F;2,4;F;4,2;F;4,5;;;;;;
22/06/2006;PS;F7;P;11;L;4,5;F;5,3;;;;;;;;;;;;
22/06/2006;PS;F7;P;12;L;3,8;F;4,7;;;;;;;;;;;;
22/06/2006;PS;F7;P;13;L;4,5;F;5,2;;;;;;;;;;;;
22/06/2006;PS;F7;P;14;L;5,3;F;4,7;;;;;;;;;;;;
22/06/2006;PS;F7;P;15;A;7,9;F;6,4;F;3,6;;;;;;;;;;
22/06/2006;PS;F7;P;17;A;5,1;F;3,7;;;;;;;;;;;;
22/06/2006;PS;F7;P;18;A;6,9;F;5,7;;;;;;;;;;;;
22/06/2006;PS;F7;P;20;L;4,8;F;5,1;;;;;;;;;;;;
22/06/2006;PS;F7;P;21;L;5,8;F;5,3;;;;;;;;;;;;
22/06/2006;PS;F7;P;22;A;8,6;F;6,3;F;4,3;F;5,3;;;;;;;;
22/06/2006;PS;F7;P;23;L;5,3;F;5,6;;;;;;;;;;;;
22/06/2006;PS;F7;P;25;A;4,7;F;4,3;F;4,5;;;;;;;;;;
22/06/2006;PS;F7;P;26;A;6,3;F;5,4;;;;;;;;;;;;
22/06/2006;PS;F7;P;27;A;6,8;F;5,2;;;;;;;;;;;;
22/06/2006;PS;F7;P;28;A;6,9;F;4,8;;;;;;;;;;;;
22/06/2006;PS;F7;P;29;A;7,1;F;4,9;;;;;;;;;;;;
22/06/2006;PS;F7;P;30;A;5,7;F;4,9;;;;;;;;;;;;
22/06/2006;PS;F7;P;31;A;6,7;F;2,6;F;1,5;;;;;;;;;;
22/06/2006;PS;F7;P;32;A;7,8;F;5,1;;;;;;;;;;;;
22/06/2006;PS;F7;P;33;A;7,4;F;6,1;;;;;;;;;;;;
22/06/2006;PS;F7;P;34;A;5,3;F;4,7;;;;;;;;;;;;
